2020-04-11 15:41:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	78158.8, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:41:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	83853.81702085, 	0.01216, 	7030.6, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	105069.5, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	159075.1, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121986, 	82827.07833121, 	0.01216, 	259075.1, 	0.317434%, 	0.190000%, 	0.127434%
2020-04-11 15:42:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01241138, 	13278.97350093, 	0.01216, 	138879.5, 	2.067270%, 	0.190000%, 	1.877270%
2020-04-11 15:43:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217896, 	48813.43005604, 	0.01215, 	159075.1, 	0.238354%, 	0.190000%, 	0.048354%
2020-04-11 15:43:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01219883, 	979.89280223, 	0.01216, 	146004.7, 	0.319326%, 	0.190000%, 	0.129326%
2020-04-11 15:43:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01219949, 	41520.86613559, 	0.01216, 	146004.7, 	0.324753%, 	0.190000%, 	0.134753%
2020-04-11 15:43:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220026, 	41520.8321007, 	0.01216, 	138879.5, 	0.331086%, 	0.190000%, 	0.141086%
2020-04-11 15:44:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220081, 	41520.8321007, 	0.01216, 	138879.5, 	0.335609%, 	0.190000%, 	0.145609%
2020-04-11 15:44:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01220147, 	41520.8321007, 	0.01216, 	146021.9, 	0.341036%, 	0.190000%, 	0.151036%
2020-04-11 15:44:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0122018, 	6535.37898735, 	0.01215, 	392163.3, 	0.426337%, 	0.190000%, 	0.236337%
2020-04-11 15:44:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0122018, 	11839.20263174, 	0.01215, 	392164.6, 	0.426337%, 	0.190000%, 	0.236337%
2020-04-11 15:45:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217975, 	40854.11474312, 	0.01214, 	110421.7, 	0.327430%, 	0.190000%, 	0.137430%
2020-04-11 15:45:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01218052, 	980.6466905, 	0.01214, 	110421.7, 	0.333773%, 	0.190000%, 	0.143773%
2020-04-11 15:45:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01218096, 	8100.39947479, 	0.01213, 	497016.1, 	0.420115%, 	0.190000%, 	0.230115%
2020-04-11 15:45:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121484, 	84269.20239363, 	0.01212, 	514016.1, 	0.234323%, 	0.190000%, 	0.044323%
2020-04-11 15:46:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01214841, 	147.17980736, 	0.01211, 	75905.1, 	0.317176%, 	0.190000%, 	0.127176%
2020-04-11 15:46:19, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01217428, 	100.0, 	0.01211, 	358016.1, 	0.530801%, 	0.190000%, 	0.340801%
2020-04-11 15:46:34, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.0121484, 	55882.9699889, 	0.01211, 	358016.1, 	0.317093%, 	0.190000%, 	0.127093%
2020-04-11 15:46:49, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01215844, 	83642.31357242, 	0.01212, 	406016.1, 	0.317162%, 	0.190000%, 	0.127162%
2020-04-11 15:47:04, 	Poloniex    , 	Binance     , 	MATIC/USDT, 	0.01214253, 	108130.35846727, 	0.01212, 	498010.2, 	0.185891%, 	0.190000%, 	-0.004109%
