2020-04-10 03:00:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	32.57, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:00:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	3.18, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:00:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	3.18, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:01:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:01:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:01:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:01:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:02:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:02:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:02:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:02:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:03:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:03:20, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:03:35, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:03:50, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.57e-05, 	42.59, 	0.280112%, 	0.250000%, 	0.030112%
2020-04-10 03:04:05, 	OKEX        , 	Binance     , 	WTC/BTC, 	3.58e-05, 	0.1866, 	3.58e-05, 	6260.43, 	0.000000%, 	0.250000%, 	-0.250000%
