2020-04-09 15:19:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:20:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:20:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:20:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:20:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:21:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:21:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:21:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:21:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:22:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:22:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	199122.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:22:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	201141.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:22:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	201141.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:23:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	201141.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:23:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	201141.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:23:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	195897.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:23:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	195897.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:24:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	195897.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:24:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	198216.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:24:41, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	198323.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:24:56, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	198430.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:25:11, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
2020-04-09 15:25:26, 	Bittrex     , 	Binance     , 	STPT/BTC, 	1.89e-06, 	2283.008, 	1.88e-06, 	203674.0, 	0.531915%, 	0.350000%, 	0.181915%
