2020-04-08 19:34:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03385871, 	43.185, 	0.880985%, 	0.510000%, 	0.370985%
2020-04-08 19:34:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391551, 	43.103, 	0.712034%, 	0.510000%, 	0.202034%
2020-04-08 19:34:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03391551, 	43.103, 	0.712034%, 	0.510000%, 	0.202034%
2020-04-08 19:34:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394645, 	43.079, 	0.620242%, 	0.510000%, 	0.110242%
2020-04-08 19:35:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394643, 	18.33161046, 	0.620301%, 	0.510000%, 	0.110301%
2020-04-08 19:35:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.03417, 	59.073, 	0.03394645, 	43.079, 	0.658537%, 	0.510000%, 	0.148537%
2020-04-08 19:35:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03394645, 	43.079, 	0.620242%, 	0.510000%, 	0.110242%
2020-04-08 19:35:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034163, 	59.085, 	0.0339464, 	742.03668962, 	0.638065%, 	0.510000%, 	0.128065%
2020-04-08 19:36:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034163, 	59.085, 	0.0339463, 	396.97722457, 	0.638361%, 	0.510000%, 	0.128361%
2020-04-08 19:36:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034163, 	59.085, 	0.03394621, 	43.111, 	0.638628%, 	0.510000%, 	0.128628%
2020-04-08 19:36:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034162, 	1.947, 	0.03394604, 	454.90881581, 	0.636186%, 	0.510000%, 	0.126186%
2020-04-08 19:36:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034162, 	1.947, 	0.03394578, 	451.79380515, 	0.636957%, 	0.510000%, 	0.126957%
2020-04-08 19:37:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034169, 	10.351, 	0.03394556, 	498.57054825, 	0.658230%, 	0.510000%, 	0.148230%
2020-04-08 19:37:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034173, 	1.947, 	0.03394543, 	141.4928, 	0.670400%, 	0.510000%, 	0.160400%
2020-04-08 19:37:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394532, 	10.27190588, 	0.676618%, 	0.510000%, 	0.166618%
2020-04-08 19:37:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394521, 	640.04141286, 	0.676944%, 	0.510000%, 	0.166944%
2020-04-08 19:38:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394501, 	371.81978336, 	0.677537%, 	0.510000%, 	0.167537%
2020-04-08 19:38:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394481, 	371.81577779, 	0.678130%, 	0.510000%, 	0.168130%
2020-04-08 19:38:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394465, 	294.05657779, 	0.678605%, 	0.510000%, 	0.168605%
2020-04-08 19:38:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394459, 	43.113, 	0.678783%, 	0.510000%, 	0.168783%
2020-04-08 19:39:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034175, 	1.947, 	0.03394451, 	43.118, 	0.679020%, 	0.510000%, 	0.169020%
2020-04-08 19:39:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.03418, 	59.055, 	0.03394441, 	493.88498374, 	0.694047%, 	0.510000%, 	0.184047%
2020-04-08 19:39:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034182, 	59.052, 	0.03394431, 	517.19645215, 	0.700235%, 	0.510000%, 	0.190235%
2020-04-08 19:39:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034184, 	59.048, 	0.03394421, 	604.07674457, 	0.706424%, 	0.510000%, 	0.196424%
2020-04-08 19:40:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.03419, 	59.038, 	0.03394413, 	564.36324304, 	0.724337%, 	0.510000%, 	0.214337%
2020-04-08 19:40:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034194, 	10.351, 	0.03394397, 	572.47514176, 	0.736596%, 	0.510000%, 	0.226596%
2020-04-08 19:40:43, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034194, 	10.351, 	0.03394378, 	1125.31372055, 	0.737160%, 	0.510000%, 	0.227160%
2020-04-08 19:40:58, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034194, 	10.351, 	0.03394357, 	151.76470588, 	0.737783%, 	0.510000%, 	0.227783%
2020-04-08 19:41:13, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034194, 	10.351, 	0.03394332, 	735.01775072, 	0.738525%, 	0.510000%, 	0.228525%
2020-04-08 19:41:28, 	Kraken      , 	Bittrex     , 	ETC/ETH, 	0.034193, 	1.947, 	0.03394312, 	886.51827982, 	0.736173%, 	0.510000%, 	0.226173%
