2020-04-08 20:33:04, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:34:11, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:34:26, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.66e-05, 	4999.975, 	1.541353%, 	0.450000%, 	1.091353%
2020-04-08 20:34:41, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:34:56, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:35:11, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:35:26, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:36:31, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:36:46, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:37:01, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:37:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:37:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:37:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:38:53, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:39:08, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:39:23, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:39:38, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:39:53, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.701e-05, 	100.0, 	2.67e-05, 	4999.975, 	1.161049%, 	0.450000%, 	0.711049%
2020-04-08 20:40:59, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:41:14, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:41:29, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:41:44, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:43:04, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:43:19, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:43:34, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:43:49, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:44:04, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.66e-05, 	4999.975, 	1.466165%, 	0.450000%, 	1.016165%
2020-04-08 20:45:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:45:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:45:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:45:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:46:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:47:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:47:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:47:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:48:02, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:48:17, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:48:32, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:48:47, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:49:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	650.0, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:50:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:50:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:50:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:50:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:51:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:51:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:51:39, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:51:54, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:52:09, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
2020-04-08 20:52:24, 	Bittrex     , 	Bitfinex    , 	ALGO/BTC, 	2.699e-05, 	120.011, 	2.67e-05, 	4999.975, 	1.086142%, 	0.450000%, 	0.636142%
