2020-04-08 19:16:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:16:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	74.31, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:17:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.833, 	60.452, 	5.786, 	58.843, 	0.812306%, 	0.760000%, 	0.052306%
2020-04-08 19:17:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	60.41, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	60.41, 	5.786, 	58.843, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.837, 	100.674, 	5.786, 	55.65981465, 	0.881438%, 	0.760000%, 	0.121438%
2020-04-08 19:18:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.839, 	60.39, 	5.786, 	53.33648488, 	0.916004%, 	0.760000%, 	0.156004%
2020-04-08 19:18:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.84, 	15.09, 	5.786, 	43.16540939, 	0.933287%, 	0.760000%, 	0.173287%
2020-04-08 19:19:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.841, 	60.369, 	5.786, 	43.16540939, 	0.950570%, 	0.760000%, 	0.190570%
2020-04-08 19:19:16, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	17.35, 	5.786, 	43.16540939, 	0.967853%, 	0.760000%, 	0.207853%
2020-04-08 19:19:31, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.785, 	121.36461632, 	0.985307%, 	0.760000%, 	0.225307%
2020-04-08 19:19:46, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.786, 	43.16540939, 	0.967853%, 	0.760000%, 	0.207853%
2020-04-08 19:20:01, 	Kraken      , 	Coinbase Pro, 	ETC/USD, 	5.842, 	10.282, 	5.786, 	9.39e-06, 	0.967853%, 	0.760000%, 	0.207853%
