2020-04-07 21:00:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784057, 	8.19652425, 	0.007531, 	81.3230621, 	4.110609%, 	0.240000%, 	3.870609%
2020-04-07 21:00:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784052, 	0.026, 	0.007528, 	81.3230621, 	4.151435%, 	0.240000%, 	3.911435%
2020-04-07 21:01:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784052, 	0.026, 	0.007527, 	19.12104385, 	4.165272%, 	0.240000%, 	3.925272%
2020-04-07 21:01:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784052, 	0.026, 	0.007527, 	81.32328274, 	4.165272%, 	0.240000%, 	3.925272%
2020-04-07 21:02:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784052, 	0.026, 	0.007534, 	72.29484982, 	4.068490%, 	0.240000%, 	3.828490%
2020-04-07 21:02:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782509, 	15.26262953, 	0.007533, 	72.29484982, 	3.877472%, 	0.240000%, 	3.637472%
2020-04-07 21:03:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00783505, 	15.49858508, 	0.007534, 	111.67534808, 	3.995885%, 	0.240000%, 	3.755885%
2020-04-07 21:03:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784112, 	15.48658717, 	0.007534, 	90.10609654, 	4.076453%, 	0.240000%, 	3.836453%
2020-04-07 21:04:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784208, 	15.48469127, 	0.007533, 	72.03991, 	4.103013%, 	0.240000%, 	3.863013%
2020-04-07 21:04:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784226, 	7.0, 	0.007531, 	90.10609654, 	4.133050%, 	0.240000%, 	3.893050%
2020-04-07 21:05:09, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00784648, 	7.0, 	0.007531, 	19.10089176, 	4.189085%, 	0.240000%, 	3.949085%
2020-04-07 21:05:39, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00782206, 	0.0128308, 	0.007562, 	8.9237, 	3.439037%, 	0.240000%, 	3.199037%
2020-04-07 21:07:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781783, 	7.0, 	0.007558, 	87.4538913, 	3.437814%, 	0.240000%, 	3.197814%
2020-04-07 21:08:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781821, 	12.73257, 	0.007554, 	9.768141, 	3.497617%, 	0.240000%, 	3.257617%
2020-04-07 21:08:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781363, 	0.25721667, 	0.007553, 	87.4535484, 	3.450682%, 	0.240000%, 	3.210682%
2020-04-07 21:09:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781425, 	13.45431, 	0.007551, 	16.97057287, 	3.486293%, 	0.240000%, 	3.246293%
2020-04-07 21:09:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781417, 	9.36813634, 	0.007548, 	78.1048484, 	3.526365%, 	0.240000%, 	3.286365%
2020-04-07 21:10:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781364, 	9.36877177, 	0.007547, 	78.1048484, 	3.533059%, 	0.240000%, 	3.293059%
2020-04-07 21:10:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00781364, 	9.36877177, 	0.007545, 	78.1048484, 	3.560504%, 	0.240000%, 	3.320504%
2020-04-07 21:11:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	9.38502277, 	0.007545, 	78.1048484, 	3.381180%, 	0.240000%, 	3.141180%
2020-04-07 21:11:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	9.43014264, 	0.007544, 	78.1048484, 	3.394883%, 	0.240000%, 	3.154883%
2020-04-07 21:12:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780017, 	10.52003093, 	0.007544, 	77.01625258, 	3.395679%, 	0.240000%, 	3.155679%
2020-04-07 21:12:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	13.23012771, 	0.007543, 	9.659934, 	3.408591%, 	0.240000%, 	3.168591%
2020-04-07 21:13:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	15.4823421, 	0.007543, 	72.061087, 	3.408591%, 	0.240000%, 	3.168591%
2020-04-07 21:13:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	15.48215877, 	0.007541, 	72.06100269, 	3.436016%, 	0.240000%, 	3.196016%
2020-04-07 21:14:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	15.83754478, 	0.007541, 	81.32341305, 	3.436016%, 	0.240000%, 	3.196016%
2020-04-07 21:14:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780011, 	15.83818561, 	0.007541, 	71.70282705, 	3.436016%, 	0.240000%, 	3.196016%
2020-04-07 21:15:07, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.00780007, 	15.63861478, 	0.00754, 	70.40607561, 	3.449204%, 	0.240000%, 	3.209204%
2020-04-07 21:15:37, 	Poloniex    , 	OKEX        , 	XMR/BTC, 	0.0078, 	131.117032, 	0.007539, 	19.24729711, 	3.461998%, 	0.240000%, 	3.221998%
