2020-04-11 14:33:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:33:54, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:02, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:09, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:17, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:24, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:32, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:33, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.004e-05, 	1445.9, 	0.642490%, 	0.590000%, 	0.052490%
2020-04-11 14:34:39, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.019e-05, 	1941.5, 	0.427411%, 	0.590000%, 	-0.162589%
2020-04-11 14:34:47, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.019e-05, 	1942.7, 	0.427411%, 	0.590000%, 	-0.162589%
2020-04-11 14:34:48, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	7.019e-05, 	1942.7, 	0.427411%, 	0.590000%, 	-0.162589%
2020-04-11 15:07:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.998e-05, 	1953.6, 	0.728780%, 	0.590000%, 	0.138780%
2020-04-11 15:08:11, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:08:26, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:08:41, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
2020-04-11 15:08:56, 	Poloniex    , 	Coinbase Pro, 	KNC/BTC, 	7.049e-05, 	0.49214887, 	6.99e-05, 	500.0, 	0.844063%, 	0.590000%, 	0.254063%
