2020-04-08 18:10:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:10:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:11:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:11:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:11:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:11:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:12:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:12:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:12:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1312489.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:12:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:13:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:13:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:13:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:13:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:14:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:14:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:14:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:14:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:15:04, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:15:19, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1211957.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:15:34, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1210286.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
2020-04-08 18:15:49, 	Binance     , 	Bittrex     , 	GO/BTC, 	1.03e-06, 	1210286.0, 	1.02e-06, 	19.29078151, 	0.980392%, 	0.350000%, 	0.630392%
