2020-04-08 10:16:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	154.92, 	0.20801, 	0.419571%, 	0.360000%, 	0.059571%
2020-04-08 10:16:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	154.95, 	0.20801, 	0.400129%, 	0.360000%, 	0.040129%
2020-04-08 10:17:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:17:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:17:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:17:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.154, 	154.96, 	0.20801, 	0.393650%, 	0.360000%, 	0.033650%
2020-04-08 10:18:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.154, 	154.99, 	0.20801, 	0.374218%, 	0.360000%, 	0.014218%
2020-04-08 10:18:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	154.98, 	0.20801, 	0.380694%, 	0.360000%, 	0.020694%
2020-04-08 10:18:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	156.01, 	0.06963, 	154.98, 	0.20801, 	0.664602%, 	0.360000%, 	0.304602%
2020-04-08 10:18:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:19:00, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:19:15, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.57, 	0.191, 	155.0, 	0.20801, 	0.367742%, 	0.360000%, 	0.007742%
2020-04-08 10:19:30, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.58, 	0.191, 	155.0, 	0.20801, 	0.374194%, 	0.360000%, 	0.014194%
2020-04-08 10:19:45, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.58, 	0.191, 	155.1, 	0.20801, 	0.309478%, 	0.360000%, 	-0.050522%
2020-04-08 11:44:27, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.7, 	4.72823, 	0.820944%, 	0.360000%, 	0.460944%
2020-04-08 13:27:33, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.66, 	9.9976, 	0.847019%, 	0.360000%, 	0.487019%
2020-04-08 13:27:48, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.66, 	0.891, 	0.847019%, 	0.360000%, 	0.487019%
2020-04-08 13:28:03, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.77, 	0.316, 	0.775344%, 	0.360000%, 	0.415344%
2020-04-08 13:28:18, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.77, 	0.316, 	0.775344%, 	0.360000%, 	0.415344%
2020-04-08 13:28:33, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.66, 	0.432, 	0.847019%, 	0.360000%, 	0.487019%
2020-04-08 13:28:48, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.62, 	0.432, 	0.873108%, 	0.360000%, 	0.513108%
2020-04-08 13:29:03, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.61, 	0.23088, 	0.879633%, 	0.360000%, 	0.519633%
2020-04-08 13:29:18, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.76, 	0.23088, 	0.781856%, 	0.360000%, 	0.421856%
2020-04-08 13:29:33, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.76, 	0.23088, 	0.781856%, 	0.360000%, 	0.421856%
2020-04-08 13:29:48, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.8, 	0.23088, 	0.755814%, 	0.360000%, 	0.395814%
2020-04-08 13:30:03, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.84, 	0.23088, 	0.729786%, 	0.360000%, 	0.369786%
2020-04-08 13:30:18, 	Binance     , 	Kraken      , 	ETH/EUR, 	155.97, 	0.20801, 	154.82, 	0.23088, 	0.742798%, 	0.360000%, 	0.382798%
