2020-04-07 22:13:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	587.38267863, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:13:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.67e-05, 	73.44334126, 	2.654e-05, 	587.38267863, 	0.602864%, 	0.190000%, 	0.412864%
2020-04-07 22:14:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.654e-05, 	653.25397035, 	0.452148%, 	0.190000%, 	0.262148%
2020-04-07 22:14:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.654e-05, 	653.25397035, 	0.452148%, 	0.190000%, 	0.262148%
2020-04-07 22:15:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.654e-05, 	653.25397035, 	0.452148%, 	0.190000%, 	0.262148%
2020-04-07 22:15:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:16:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:16:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:17:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:17:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:18:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.645e-05, 	653.25397035, 	0.793951%, 	0.190000%, 	0.603951%
2020-04-07 22:18:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:19:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:19:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:20:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:20:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.1475328, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:21:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:21:32, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.653e-05, 	653.25397035, 	0.490011%, 	0.190000%, 	0.300011%
2020-04-07 22:22:02, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.663e-05, 	653.25397035, 	0.112655%, 	0.190000%, 	-0.077345%
2020-04-07 22:37:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:38:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:38:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:39:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:39:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:40:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:40:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.8107882, 	2.65e-05, 	653.25397035, 	0.603774%, 	0.190000%, 	0.413774%
2020-04-07 22:41:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:41:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:42:17, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
2020-04-07 22:42:47, 	Poloniex    , 	Binance     , 	BNT/BTC, 	2.666e-05, 	4.25257933, 	2.656e-05, 	653.25397035, 	0.376506%, 	0.190000%, 	0.186506%
