2020-04-08 08:11:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:11:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:12:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:12:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:13:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:13:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:14:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:14:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:15:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:15:45, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
2020-04-08 08:16:15, 	OKEX        , 	Bitfinex    , 	KAN/USDT, 	0.002371, 	5250.0, 	0.00234, 	8750.0, 	1.324786%, 	0.350000%, 	0.974786%
