2020-04-06 18:38:46 ,154 INFO ,   OPPORTUNITY ,Coinbase Pro ,Bittrex      ,ETH/EUR   ,153.08       ,48.04291967      ,150.0         ,5.3               ,2.053333%   ,0.750000% ,1.303333%
2020-04-06 18:39:21 ,201 INFO ,   OPPORTUNITY ,Bitfinex     ,OKEX         ,XMR/BTC   ,0.0080136    ,3.0              ,0.007844      ,0.25              ,2.162162%   ,0.350000% ,1.812162%
2020-04-06 18:39:57 ,049 INFO ,   OPPORTUNITY ,Binance      ,OKEX         ,XMR/BTC   ,0.008023     ,1.5              ,0.007844      ,1.5               ,2.281999%   ,0.250000% ,2.031999%
2020-04-06 18:40:20 ,083 INFO ,   OPPORTUNITY ,OKEX         ,Bittrex      ,CVT/BTC   ,3.424e-06    ,22202.24020603   ,1.83e-06      ,50746.03844702    ,87.103825%  ,0.400000% ,86.703825%
2020-04-06 18:40:25 ,568 INFO ,   OPPORTUNITY ,Coinbase Pro ,Bittrex      ,ETH/EUR   ,153.49       ,5.0              ,150.0         ,26.59165297       ,2.326667%   ,0.750000% ,1.576667%
2020-04-06 18:40:46 ,660 INFO ,   OPPORTUNITY ,Bittrex      ,Kraken       ,SC/ETH    ,8.75e-06     ,1407.95793292    ,8.7e-06       ,95348.91616857    ,0.574713%   ,0.510000% ,0.064713%
2020-04-06 18:41:20 ,803 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.349        ,0.15925675       ,0.346         ,0.37397157        ,0.867052%   ,0.400000% ,0.467052%
2020-04-06 18:41:47 ,591 INFO ,   OPPORTUNITY ,Bitfinex     ,Bittrex      ,ETH/EUR   ,153.68       ,3.87306179       ,150.0         ,0.02323349        ,2.453333%   ,0.450000% ,2.003333%
2020-04-06 18:42:32 ,486 INFO ,   OPPORTUNITY ,Kraken       ,Bittrex      ,ETH/EUR   ,153.88       ,3.87306179       ,150.0         ,0.02323349        ,2.586667%   ,0.510000% ,2.076667%
2020-04-06 18:42:51 ,567 INFO ,   OPPORTUNITY ,OKEX         ,Binance      ,GTO/ETH   ,6.01e-05     ,11769.0          ,2.953e-05     ,16200.0           ,103.521842% ,0.250000% ,103.271842%
2020-04-06 18:44:37 ,557 INFO ,   OPPORTUNITY ,Bittrex      ,OKEX         ,XMR/ETH   ,0.349        ,0.15925675       ,0.346         ,82.74716928       ,0.867052%   ,0.400000% ,0.467052%
2020-04-06 18:44:44 ,945 INFO ,   OPPORTUNITY ,OKEX         ,Bitfinex     ,KAN/USDT  ,0.00217      ,7420.0           ,0.002161      ,6790.0            ,0.416474%   ,0.350000% ,0.066474%
2020-04-06 18:45:06 ,608 INFO ,   OPPORTUNITY ,Poloniex     ,Binance      ,PAX/USDT  ,1.00132026   ,20.42406797      ,0.9984        ,37.8680542        ,0.292494%   ,0.190000% ,0.102494%
