2020-04-10 09:11:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.538, 	65.5935, 	1.815778%, 	0.350000%, 	1.465778%
2020-04-10 09:11:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	5.4588, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:12:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.548, 	23.6999, 	1.591909%, 	0.350000%, 	1.241909%
2020-04-10 09:12:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	1.0, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:12:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	91.5, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:12:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.546, 	5.4493, 	1.636604%, 	0.350000%, 	1.286604%
2020-04-10 09:13:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	1.0, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:13:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	50.0, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:13:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	101.4962, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:13:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	3158.0239, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:14:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	3158.0239, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:14:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	880.3274, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:14:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	880.3274, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:14:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	880.3274, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:15:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	880.3274, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:15:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	99.4173, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:15:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	99.4173, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:15:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	99.4173, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:16:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.544, 	49.4173, 	1.681338%, 	0.350000%, 	1.331338%
2020-04-10 09:16:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.545, 	880.3274, 	1.658966%, 	0.350000%, 	1.308966%
2020-04-10 09:16:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	5.4493, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:16:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.547, 	5.4493, 	1.614251%, 	0.350000%, 	1.264251%
2020-04-10 09:17:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.55, 	5.0, 	1.547253%, 	0.350000%, 	1.197253%
2020-04-10 09:17:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.561, 	104.71, 	1.302346%, 	0.350000%, 	0.952346%
2020-04-10 09:17:43, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.563, 	65.5935, 	1.257944%, 	0.350000%, 	0.907944%
2020-04-10 09:17:58, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.564, 	91.887, 	1.235758%, 	0.350000%, 	0.885758%
2020-04-10 09:18:13, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.563, 	175.1825, 	1.257944%, 	0.350000%, 	0.907944%
2020-04-10 09:18:28, 	Bitfinex    , 	OKEX        , 	OKB/USDT, 	4.6204, 	8e-05, 	4.563, 	65.5935, 	1.257944%, 	0.350000%, 	0.907944%
