2020-04-09 11:26:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:26:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:26:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:26:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:27:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:27:23, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:27:38, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:27:53, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:28:08, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:28:24, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:28:39, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:28:54, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:29:09, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:29:24, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:29:39, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
2020-04-09 11:29:54, 	Poloniex    , 	Bittrex     , 	STORJ/BTC, 	1.396e-05, 	15.4122, 	1.388e-05, 	38.26, 	0.576369%, 	0.340000%, 	0.236369%
