2020-04-08 19:23:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	19859.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:23:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	17639.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:24:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.67e-05, 	17614.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:24:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.67e-05, 	17642.0, 	2.659176%, 	0.350000%, 	2.309176%
2020-04-08 19:24:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.668e-05, 	255.0, 	2.736132%, 	0.350000%, 	2.386132%
2020-04-08 19:24:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.668e-05, 	65.0, 	2.736132%, 	0.350000%, 	2.386132%
2020-04-08 19:25:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.668e-05, 	130.0, 	1.611694%, 	0.350000%, 	1.261694%
2020-04-08 19:25:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.668e-05, 	116.0, 	1.611694%, 	0.350000%, 	1.261694%
2020-04-08 19:25:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.712e-05, 	703.3793691, 	2.668e-05, 	177.0, 	1.649175%, 	0.350000%, 	1.299175%
2020-04-08 19:25:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.668e-05, 	279.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:26:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	726.73373503, 	2.668e-05, 	189.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:26:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.713e-05, 	702.8651518, 	2.672e-05, 	39249.0, 	1.534431%, 	0.350000%, 	1.184431%
2020-04-08 19:26:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.714e-05, 	746.84622956, 	2.672e-05, 	23585.0, 	1.571856%, 	0.350000%, 	1.221856%
2020-04-08 19:26:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.707e-05, 	4999.9, 	2.666e-05, 	449.0, 	1.537884%, 	0.350000%, 	1.187884%
2020-04-08 19:27:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.709e-05, 	727.26585287, 	2.666e-05, 	165.0, 	1.612903%, 	0.350000%, 	1.262903%
2020-04-08 19:27:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.666e-05, 	144.0, 	1.575394%, 	0.350000%, 	1.225394%
2020-04-08 19:27:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	13000.0, 	1.613508%, 	0.350000%, 	1.263508%
2020-04-08 19:27:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.666e-05, 	157.0, 	1.575394%, 	0.350000%, 	1.225394%
2020-04-08 19:28:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.666e-05, 	216.0, 	1.575394%, 	0.350000%, 	1.225394%
2020-04-08 19:28:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.666e-05, 	312.0, 	1.575394%, 	0.350000%, 	1.225394%
2020-04-08 19:28:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.666e-05, 	248.0, 	1.575394%, 	0.350000%, 	1.225394%
2020-04-08 19:28:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.667e-05, 	146.0, 	1.537308%, 	0.350000%, 	1.187308%
2020-04-08 19:29:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.667e-05, 	180.0, 	1.537308%, 	0.350000%, 	1.187308%
2020-04-08 19:29:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.667e-05, 	193.0, 	1.537308%, 	0.350000%, 	1.187308%
2020-04-08 19:29:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.668e-05, 	55.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:29:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.668e-05, 	65.0, 	1.574213%, 	0.350000%, 	1.224213%
2020-04-08 19:30:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.667e-05, 	307.0, 	1.612298%, 	0.350000%, 	1.262298%
2020-04-08 19:30:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.667e-05, 	422.0, 	1.612298%, 	0.350000%, 	1.262298%
2020-04-08 19:30:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	473.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:30:57, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	559.0, 	1.536156%, 	0.350000%, 	1.186156%
2020-04-08 19:31:12, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	157.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:31:27, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.67e-05, 	166.0, 	1.498127%, 	0.350000%, 	1.148127%
2020-04-08 19:31:42, 	Bittrex     , 	Binance     , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.668e-05, 	1746.0, 	1.574213%, 	0.350000%, 	1.224213%
