2020-04-08 17:49:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:49:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:49:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:50:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:50:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:50:33, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:50:48, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:51:03, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:51:18, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	151.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:51:34, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:51:49, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:52:04, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:52:19, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	21.67232125, 	1.02205, 	451.449, 	0.513673%, 	0.460000%, 	0.053673%
2020-04-08 17:52:34, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0269, 	160.06725507, 	1.02205, 	451.449, 	0.474536%, 	0.460000%, 	0.014536%
2020-04-08 17:52:49, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0267, 	504.76745288, 	1.02205, 	451.449, 	0.454968%, 	0.460000%, 	-0.005032%
2020-04-08 18:00:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	275.18233038, 	1.02226, 	451.445, 	0.493025%, 	0.460000%, 	0.033025%
2020-04-08 18:01:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	687.94666796, 	1.02226, 	451.445, 	0.493025%, 	0.460000%, 	0.033025%
2020-04-08 18:01:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	5.13254922, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:01:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	311.94723741, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:01:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2029.81968858, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:02:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	311.94723741, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
2020-04-08 18:02:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2030.72947054, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:02:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2030.74731855, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:02:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2027.939173, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:03:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2027.83863297, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:03:26, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2035.41308087, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:03:41, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	5.13254922, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:03:56, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0272, 	2035.9435662, 	1.02225, 	451.445, 	0.484226%, 	0.460000%, 	0.024226%
2020-04-08 18:04:11, 	Bitfinex    , 	Kraken      , 	DAI/USD, 	1.0273, 	425.6935199, 	1.02225, 	451.445, 	0.494008%, 	0.460000%, 	0.034008%
