2020-04-11 12:25:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:25:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:26:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:26:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:26:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:26:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:27:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:27:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:27:40, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:27:55, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	829.594, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:28:10, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	771.792, 	0.00348, 	6666.0, 	0.287356%, 	0.250000%, 	0.037356%
2020-04-11 12:28:25, 	OKEX        , 	Binance     , 	MITH/USDT, 	0.00349, 	771.792, 	0.00349, 	2935.0, 	0.000000%, 	0.250000%, 	-0.250000%
