2020-04-09 17:43:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6708.275, 	0.04388, 	0.430289%, 	0.350000%, 	0.080289%
2020-04-09 17:43:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.4, 	6708.2, 	0.816, 	0.444232%, 	0.350000%, 	0.094232%
2020-04-09 17:44:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.4, 	6708.099, 	0.36668361, 	0.445745%, 	0.350000%, 	0.095745%
2020-04-09 17:44:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.4, 	6707.998, 	0.17139017, 	0.447257%, 	0.350000%, 	0.097257%
2020-04-09 17:44:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.899, 	0.36668361, 	0.448740%, 	0.350000%, 	0.098740%
2020-04-09 17:44:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.899, 	0.36668361, 	0.448740%, 	0.350000%, 	0.098740%
2020-04-09 17:45:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.899, 	0.36668361, 	0.448740%, 	0.350000%, 	0.098740%
2020-04-09 17:45:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.896, 	0.04388, 	0.448785%, 	0.350000%, 	0.098785%
2020-04-09 17:45:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.821, 	0.36668361, 	0.449908%, 	0.350000%, 	0.099908%
2020-04-09 17:45:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6738.0, 	4.35, 	6707.756, 	0.36668361, 	0.450881%, 	0.350000%, 	0.100881%
2020-04-09 17:46:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6707.652, 	0.04388, 	0.439617%, 	0.350000%, 	0.089617%
2020-04-09 17:46:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.664, 	0.36668361, 	0.482075%, 	0.350000%, 	0.132075%
2020-04-09 17:46:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.664, 	0.36668361, 	0.482075%, 	0.350000%, 	0.132075%
2020-04-09 17:46:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.664, 	0.36668361, 	0.482075%, 	0.350000%, 	0.132075%
2020-04-09 17:47:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.662, 	0.36668361, 	0.482105%, 	0.350000%, 	0.132105%
2020-04-09 17:47:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.662, 	0.36668361, 	0.482105%, 	0.350000%, 	0.132105%
2020-04-09 17:47:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6740.0, 	4.4, 	6707.662, 	0.36668361, 	0.482105%, 	0.350000%, 	0.132105%
2020-04-09 17:47:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.662, 	0.36668361, 	0.630294%, 	0.350000%, 	0.280294%
2020-04-09 17:48:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.2, 	0.000246, 	6707.662, 	0.36668361, 	0.827979%, 	0.350000%, 	0.477979%
2020-04-09 17:48:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6763.2, 	0.000246, 	6707.661, 	0.18280648, 	0.827994%, 	0.350000%, 	0.477994%
2020-04-09 17:48:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.66, 	0.36668361, 	0.630324%, 	0.350000%, 	0.280324%
2020-04-09 17:48:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.66, 	0.36668361, 	0.630324%, 	0.350000%, 	0.280324%
2020-04-09 17:49:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.66, 	0.36668361, 	0.630324%, 	0.350000%, 	0.280324%
2020-04-09 17:49:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.66, 	0.36668361, 	0.630324%, 	0.350000%, 	0.280324%
2020-04-09 17:49:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6707.658, 	0.36668361, 	0.439527%, 	0.350000%, 	0.089527%
2020-04-09 17:49:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6707.658, 	0.36668361, 	0.439527%, 	0.350000%, 	0.089527%
2020-04-09 17:50:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6707.658, 	0.36668361, 	0.439527%, 	0.350000%, 	0.089527%
2020-04-09 17:50:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.658, 	0.36668361, 	0.630354%, 	0.350000%, 	0.280354%
2020-04-09 17:50:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.658, 	0.36668361, 	0.630354%, 	0.350000%, 	0.280354%
2020-04-09 17:50:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002329, 	6707.658, 	0.36668361, 	0.630354%, 	0.350000%, 	0.280354%
2020-04-09 17:51:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.032, 	6707.656, 	0.36668361, 	0.705820%, 	0.350000%, 	0.355820%
2020-04-09 17:51:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.032, 	6707.656, 	0.36668361, 	0.705820%, 	0.350000%, 	0.355820%
2020-04-09 17:51:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.022, 	6707.656, 	0.36668361, 	0.705820%, 	0.350000%, 	0.355820%
2020-04-09 17:51:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.022, 	6707.656, 	0.36668361, 	0.705820%, 	0.350000%, 	0.355820%
2020-04-09 17:52:03, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.022, 	6707.655, 	0.1743827, 	0.705835%, 	0.350000%, 	0.355835%
2020-04-09 17:52:18, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6755.0, 	0.022, 	6707.41, 	0.04388, 	0.709514%, 	0.350000%, 	0.359514%
2020-04-09 17:52:33, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6737.14, 	0.002334, 	6707.014, 	0.36668361, 	0.449172%, 	0.350000%, 	0.099172%
2020-04-09 17:52:48, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6730.0, 	4.105032, 	6707.014, 	0.36668361, 	0.342716%, 	0.350000%, 	-0.007284%
2020-04-09 18:00:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.499, 	0.36668361, 	0.677769%, 	0.350000%, 	0.327769%
2020-04-09 18:00:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.4, 	0.751, 	0.679255%, 	0.350000%, 	0.329255%
2020-04-09 18:00:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.399, 	0.36668361, 	0.679270%, 	0.350000%, 	0.329270%
2020-04-09 18:01:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.2, 	0.7, 	0.682259%, 	0.350000%, 	0.332259%
2020-04-09 18:01:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.3, 	0.743, 	0.680757%, 	0.350000%, 	0.330757%
2020-04-09 18:01:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6749.94, 	0.002328, 	6704.2, 	0.733, 	0.682259%, 	0.350000%, 	0.332259%
2020-04-09 18:01:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.56, 	0.01, 	6704.099, 	0.36668361, 	0.752689%, 	0.350000%, 	0.402689%
2020-04-09 18:02:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6754.56, 	0.01, 	6703.998, 	0.18160194, 	0.754207%, 	0.350000%, 	0.404207%
2020-04-09 18:02:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.235663, 	6703.8, 	0.025, 	0.622035%, 	0.350000%, 	0.272035%
2020-04-09 18:02:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.229518, 	6703.899, 	0.36668361, 	0.620549%, 	0.350000%, 	0.270549%
2020-04-09 18:02:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.229518, 	6703.7, 	0.723, 	0.623536%, 	0.350000%, 	0.273536%
2020-04-09 18:03:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.254518, 	6703.7, 	0.688, 	0.623536%, 	0.350000%, 	0.273536%
2020-04-09 18:03:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.194518, 	6703.699, 	0.36668361, 	0.623551%, 	0.350000%, 	0.273551%
2020-04-09 18:03:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.134518, 	6703.5, 	0.616, 	0.626538%, 	0.350000%, 	0.276538%
2020-04-09 18:03:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.134518, 	6703.5, 	0.616, 	0.626538%, 	0.350000%, 	0.276538%
2020-04-09 18:04:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.012759, 	6703.5, 	0.643, 	0.858507%, 	0.350000%, 	0.508507%
2020-04-09 18:04:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6745.5, 	0.134518, 	6703.499, 	0.36668361, 	0.626553%, 	0.350000%, 	0.276553%
2020-04-09 18:04:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.656695, 	6703.499, 	0.36668361, 	0.858522%, 	0.350000%, 	0.508522%
2020-04-09 18:04:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.656695, 	6703.497, 	0.36668361, 	0.858552%, 	0.350000%, 	0.508552%
2020-04-09 18:05:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.656695, 	6703.497, 	0.36668361, 	0.858552%, 	0.350000%, 	0.508552%
2020-04-09 18:05:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.656695, 	6703.399, 	0.36668361, 	0.860026%, 	0.350000%, 	0.510026%
2020-04-09 18:05:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.606695, 	6703.299, 	0.36668361, 	0.861531%, 	0.350000%, 	0.511531%
2020-04-09 18:05:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.2, 	0.595, 	0.863021%, 	0.350000%, 	0.513021%
2020-04-09 18:06:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.298, 	0.18089553, 	0.861546%, 	0.350000%, 	0.511546%
2020-04-09 18:06:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.297, 	0.36668361, 	0.861561%, 	0.350000%, 	0.511561%
2020-04-09 18:06:42, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.297, 	0.36668361, 	0.861561%, 	0.350000%, 	0.511561%
2020-04-09 18:06:57, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.297, 	0.36668361, 	0.861561%, 	0.350000%, 	0.511561%
2020-04-09 18:07:12, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6703.298, 	0.18089553, 	0.861546%, 	0.350000%, 	0.511546%
2020-04-09 18:07:27, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.541294, 	6743.524, 	0.04365, 	0.259894%, 	0.350000%, 	-0.090106%
2020-04-09 18:17:47, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6762.76, 	0.002325, 	6722.25, 	0.36668361, 	0.602626%, 	0.350000%, 	0.252626%
2020-04-09 18:18:02, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6762.76, 	0.002325, 	6721.9, 	0.725, 	0.607864%, 	0.350000%, 	0.257864%
2020-04-09 18:18:17, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6762.76, 	0.002325, 	6721.7, 	0.19, 	0.610857%, 	0.350000%, 	0.260857%
2020-04-09 18:18:32, 	Binance     , 	Bittrex     , 	BTC/EUR, 	6761.05, 	0.227101, 	6721.799, 	0.36668361, 	0.583936%, 	0.350000%, 	0.233936%
