2020-04-07 21:54:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6597.99, 	0.020463, 	6545.9, 	0.230989, 	0.795765%, 	0.300000%, 	0.495765%
2020-04-07 21:54:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6597.99, 	0.020463, 	6545.8, 	0.224792, 	0.797305%, 	0.300000%, 	0.497305%
2020-04-07 21:55:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6597.99, 	0.020463, 	6545.9, 	0.224792, 	0.795765%, 	0.300000%, 	0.495765%
2020-04-07 21:55:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6597.99, 	0.020463, 	6545.9, 	0.504329, 	0.795765%, 	0.300000%, 	0.495765%
2020-04-07 21:56:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.998049, 	6545.9, 	0.002387, 	0.520937%, 	0.300000%, 	0.220937%
2020-04-07 21:56:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.183243, 	6546.6, 	0.002387, 	0.510188%, 	0.300000%, 	0.210188%
2020-04-07 21:57:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.098243, 	6546.6, 	0.002387, 	0.510188%, 	0.300000%, 	0.210188%
2020-04-07 21:57:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6546.6, 	0.002387, 	0.510188%, 	0.300000%, 	0.210188%
2020-04-07 21:58:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6546.6, 	0.002387, 	0.510188%, 	0.300000%, 	0.210188%
2020-04-07 21:58:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6546.5, 	0.044258, 	0.511724%, 	0.300000%, 	0.211724%
2020-04-07 21:59:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6545.8, 	0.044258, 	0.522472%, 	0.300000%, 	0.222472%
2020-04-07 21:59:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6546.6, 	0.816177, 	0.510188%, 	0.300000%, 	0.210188%
2020-04-07 22:00:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.960521, 	6546.5, 	0.816177, 	0.511724%, 	0.300000%, 	0.211724%
2020-04-07 22:00:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.068149, 	6538.5, 	0.839325, 	0.634702%, 	0.300000%, 	0.334702%
2020-04-07 22:01:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	1.068149, 	6529.1, 	0.028294, 	0.779587%, 	0.300000%, 	0.479587%
2020-04-07 22:01:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.882955, 	6526.7, 	0.028294, 	0.816645%, 	0.300000%, 	0.516645%
2020-04-07 22:02:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6580.0, 	0.882955, 	6530.5, 	0.028294, 	0.757982%, 	0.300000%, 	0.457982%
2020-04-07 22:02:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.007547, 	6536.0, 	0.028831, 	0.749694%, 	0.300000%, 	0.449694%
2020-04-07 22:03:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.007547, 	6535.9, 	0.028831, 	0.751235%, 	0.300000%, 	0.451235%
2020-04-07 22:03:49, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.007547, 	6535.3, 	0.016316, 	0.760485%, 	0.300000%, 	0.460485%
2020-04-07 22:04:19, 	Binance     , 	Bitfinex    , 	BTC/EUR, 	6585.0, 	0.007547, 	6536.0, 	0.016316, 	0.749694%, 	0.300000%, 	0.449694%
