2020-04-10 00:59:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000592, 	4242.59161179, 	0.2832, 	961.601, 	2.403220%, 	0.400000%, 	2.003220%
2020-04-10 00:59:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000621, 	4242.58835692, 	0.2831, 	660.557, 	2.439495%, 	0.400000%, 	2.039495%
2020-04-10 00:59:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000651, 	4242.58498982, 	0.2831, 	660.557, 	2.439601%, 	0.400000%, 	2.039601%
2020-04-10 00:59:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2901726, 	30.0, 	0.2831, 	660.557, 	2.498269%, 	0.400000%, 	2.098269%
2020-04-10 01:00:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000669, 	4184.82156764, 	0.2832, 	961.601, 	2.403492%, 	0.400000%, 	2.003492%
2020-04-10 01:00:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000684, 	1279.13898308, 	0.2832, 	961.601, 	2.403545%, 	0.400000%, 	2.003545%
2020-04-10 01:00:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000698, 	4129.56576129, 	0.2831, 	660.557, 	2.439767%, 	0.400000%, 	2.039767%
2020-04-10 01:00:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000718, 	4129.56352512, 	0.2831, 	660.557, 	2.439838%, 	0.400000%, 	2.039838%
2020-04-10 01:01:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900075, 	4129.55994726, 	0.2831, 	660.557, 	2.439951%, 	0.400000%, 	2.039951%
2020-04-10 01:01:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000784, 	4875.25632887, 	0.2831, 	660.557, 	2.440071%, 	0.400000%, 	2.040071%
2020-04-10 01:01:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000817, 	1279.13898308, 	0.2831, 	660.557, 	2.440187%, 	0.400000%, 	2.040187%
2020-04-10 01:01:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000837, 	1279.13898308, 	0.2831, 	660.557, 	2.440258%, 	0.400000%, 	2.040258%
2020-04-10 01:02:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000838, 	4129.55010816, 	0.2831, 	660.557, 	2.440261%, 	0.400000%, 	2.040261%
2020-04-10 01:02:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000856, 	4129.54809562, 	0.2832, 	961.601, 	2.404153%, 	0.400000%, 	2.004153%
2020-04-10 01:02:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000856, 	4129.54809562, 	0.2831, 	660.557, 	2.440325%, 	0.400000%, 	2.040325%
2020-04-10 01:02:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000869, 	4129.54664212, 	0.2832, 	961.601, 	2.404198%, 	0.400000%, 	2.004198%
2020-04-10 01:03:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000869, 	4129.54664212, 	0.2831, 	660.557, 	2.440371%, 	0.400000%, 	2.040371%
2020-04-10 01:03:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000869, 	4129.54664212, 	0.2831, 	660.557, 	2.440371%, 	0.400000%, 	2.040371%
2020-04-10 01:03:40, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000869, 	4129.54664212, 	0.2832, 	961.601, 	2.404198%, 	0.400000%, 	2.004198%
2020-04-10 01:03:55, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000869, 	4129.54664212, 	0.2827, 	23.0, 	2.585317%, 	0.400000%, 	2.185317%
2020-04-10 01:04:10, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.2900087, 	4094.18960355, 	0.2831, 	660.557, 	2.440374%, 	0.400000%, 	2.040374%
2020-04-10 01:04:25, 	Bittrex     , 	OKEX        , 	MOF/USDT, 	0.29000898, 	4094.18636113, 	0.2838, 	2.708, 	2.187801%, 	0.400000%, 	1.787801%
