2020-04-09 03:53:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:53:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:53:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:54:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:54:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:54:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:54:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:55:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:55:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:55:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:55:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:56:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:56:23, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:56:38, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:56:53, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
2020-04-09 03:57:08, 	Poloniex    , 	Binance     , 	STORJ/BTC, 	1.411e-05, 	2.285609, 	1.401e-05, 	18.0, 	0.713776%, 	0.190000%, 	0.523776%
