2020-04-07 20:36:50, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	17.012, 	0.007538, 	17.032, 	3.780844%, 	0.410000%, 	3.370844%
2020-04-07 20:37:20, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007822, 	17.012, 	0.007537, 	17.032, 	3.781345%, 	0.410000%, 	3.371345%
2020-04-07 20:37:50, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	19.9, 	0.007533, 	17.032, 	3.849728%, 	0.410000%, 	3.439728%
2020-04-07 20:38:20, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	36.921, 	0.007532, 	17.032, 	3.863516%, 	0.410000%, 	3.453516%
2020-04-07 20:38:50, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	16.986, 	0.00753, 	17.032, 	3.917663%, 	0.410000%, 	3.507663%
2020-04-07 20:39:21, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007825, 	17.01, 	0.007528, 	17.032, 	3.945271%, 	0.410000%, 	3.535271%
2020-04-07 20:39:51, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007823, 	36.915, 	0.007528, 	17.032, 	3.918704%, 	0.410000%, 	3.508704%
2020-04-07 20:58:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007835, 	37.298, 	0.007534, 	34.132, 	3.995222%, 	0.410000%, 	3.585222%
2020-04-07 20:59:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007839, 	37.306, 	0.007532, 	24.132, 	4.075943%, 	0.410000%, 	3.665943%
2020-04-07 20:59:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007837, 	17.304, 	0.007532, 	24.132, 	4.049389%, 	0.410000%, 	3.639389%
2020-04-07 21:00:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007839, 	17.333, 	0.00753, 	24.132, 	4.103586%, 	0.410000%, 	3.693586%
2020-04-07 21:00:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007837, 	12.602, 	0.007528, 	24.132, 	4.104676%, 	0.410000%, 	3.694676%
2020-04-07 21:01:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00784, 	2.0, 	0.007527, 	7.0, 	4.158363%, 	0.410000%, 	3.748363%
2020-04-07 21:01:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007837, 	0.943, 	0.007527, 	17.312, 	4.118507%, 	0.410000%, 	3.708507%
2020-04-07 21:02:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.00783, 	29.988, 	0.007534, 	27.312, 	3.928856%, 	0.410000%, 	3.518856%
2020-04-07 21:02:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007827, 	37.358, 	0.007533, 	17.363, 	3.902828%, 	0.410000%, 	3.492828%
2020-04-07 21:03:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007848, 	1.181, 	0.007534, 	10.0, 	4.167773%, 	0.410000%, 	3.757773%
2020-04-07 21:03:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007849, 	17.441, 	0.007534, 	29.861, 	4.181046%, 	0.410000%, 	3.771046%
2020-04-07 21:04:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007844, 	23.487, 	0.007533, 	17.468, 	4.128501%, 	0.410000%, 	3.718501%
2020-04-07 21:04:39, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007851, 	37.468, 	0.007531, 	17.479, 	4.249104%, 	0.410000%, 	3.839104%
2020-04-07 21:05:09, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007856, 	17.479, 	0.007531, 	17.515, 	4.315496%, 	0.410000%, 	3.905496%
2020-04-08 08:27:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	24.603, 	0.007585, 	16.869, 	3.203691%, 	0.410000%, 	2.793691%
2020-04-08 08:28:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	24.603, 	0.007584, 	16.869, 	3.217300%, 	0.410000%, 	2.807300%
2020-04-08 08:28:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007584, 	16.859, 	3.217300%, 	0.410000%, 	2.807300%
2020-04-08 08:29:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007582, 	16.857, 	3.244527%, 	0.410000%, 	2.834527%
2020-04-08 08:29:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007582, 	16.855, 	3.244527%, 	0.410000%, 	2.834527%
2020-04-08 08:30:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007582, 	16.889, 	3.244527%, 	0.410000%, 	2.834527%
2020-04-08 08:30:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.00758, 	23.89, 	3.271768%, 	0.410000%, 	2.861768%
2020-04-08 08:31:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007578, 	16.887, 	3.299023%, 	0.410000%, 	2.889023%
2020-04-08 08:31:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007578, 	212.648, 	3.299023%, 	0.410000%, 	2.889023%
2020-04-08 08:32:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007576, 	212.648, 	3.326294%, 	0.410000%, 	2.916294%
2020-04-08 08:32:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007576, 	16.903, 	3.326294%, 	0.410000%, 	2.916294%
2020-04-08 08:33:06, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007575, 	16.878, 	3.339934%, 	0.410000%, 	2.929934%
2020-04-08 08:33:36, 	Kraken      , 	OKEX        , 	XMR/BTC, 	0.007828, 	7.734, 	0.007574, 	16.878, 	3.353578%, 	0.410000%, 	2.943578%
