2020-04-10 02:04:31, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:04:46, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:05:01, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:05:16, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	400.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:05:31, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.34e-06, 	400.0, 	0.000000%, 	0.240000%, 	-0.240000%
2020-04-10 02:17:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	24000.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:18:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	5100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:18:24, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	25500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:18:39, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	25500.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:18:54, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
2020-04-10 02:19:09, 	Poloniex    , 	OKEX        , 	SNT/BTC, 	2.34e-06, 	232.33219278, 	2.334e-06, 	29100.0, 	0.257069%, 	0.240000%, 	0.017069%
