2020-04-08 18:47:59, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.407, 	598.0, 	5.354, 	77.11, 	0.989914%, 	0.760000%, 	0.229914%
2020-04-08 18:48:14, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.408, 	300.0, 	5.348, 	77.11, 	1.121915%, 	0.760000%, 	0.361915%
2020-04-08 18:48:29, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.401, 	598.0, 	5.344, 	52.29, 	1.066617%, 	0.760000%, 	0.306617%
2020-04-08 18:48:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	110.231, 	5.341, 	77.11, 	0.898708%, 	0.760000%, 	0.138708%
2020-04-08 18:48:59, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.391, 	10.231, 	5.334, 	77.11, 	1.068616%, 	0.760000%, 	0.308616%
2020-04-08 18:49:14, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.391, 	10.231, 	5.334, 	77.11, 	1.068616%, 	0.760000%, 	0.308616%
2020-04-08 18:49:29, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	21.0, 	5.328, 	352.0, 	0.957207%, 	0.760000%, 	0.197207%
2020-04-08 18:49:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	100.0, 	5.332, 	27.4, 	0.881470%, 	0.760000%, 	0.121470%
2020-04-08 18:49:59, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	300.0, 	5.333, 	80.0, 	0.937559%, 	0.760000%, 	0.177559%
2020-04-08 18:50:14, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.384, 	629.9, 	5.333, 	157.11, 	0.956310%, 	0.760000%, 	0.196310%
2020-04-08 18:50:29, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.386, 	598.0, 	5.333, 	132.29, 	0.993812%, 	0.760000%, 	0.233812%
2020-04-08 18:50:44, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.389, 	327.7, 	5.333, 	157.11, 	1.050066%, 	0.760000%, 	0.290066%
2020-04-08 18:51:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.392, 	598.0, 	5.333, 	157.11, 	1.106319%, 	0.760000%, 	0.346319%
2020-04-08 18:51:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.385, 	598.0, 	5.343, 	256.72795312, 	0.786075%, 	0.760000%, 	0.026075%
2020-04-08 18:51:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.385, 	620.8, 	5.335, 	77.11, 	0.937207%, 	0.760000%, 	0.177207%
2020-04-08 18:51:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	442.539, 	5.335, 	77.11, 	0.899719%, 	0.760000%, 	0.139719%
2020-04-08 18:52:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.382, 	442.539, 	5.335, 	77.11, 	0.880975%, 	0.760000%, 	0.120975%
2020-04-08 18:52:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	598.0, 	5.341, 	80.0, 	0.786370%, 	0.760000%, 	0.026370%
2020-04-08 18:52:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.378, 	442.539, 	5.333, 	256.11, 	0.843803%, 	0.760000%, 	0.083803%
2020-04-08 18:52:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.38, 	698.0, 	5.334, 	157.11, 	0.862392%, 	0.760000%, 	0.102392%
2020-04-08 18:53:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	442.539, 	5.337, 	80.0, 	0.824433%, 	0.760000%, 	0.064433%
2020-04-08 18:53:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.381, 	442.539, 	5.334, 	157.11, 	0.881140%, 	0.760000%, 	0.121140%
2020-04-08 18:53:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	442.539, 	5.334, 	157.11, 	0.918635%, 	0.760000%, 	0.158635%
2020-04-08 18:53:45, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.383, 	442.539, 	5.332, 	129.4, 	0.956489%, 	0.760000%, 	0.196489%
2020-04-08 18:54:00, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.331, 	157.11, 	0.900394%, 	0.760000%, 	0.140394%
2020-04-08 18:54:15, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.332, 	77.11, 	0.881470%, 	0.760000%, 	0.121470%
2020-04-08 18:54:30, 	Kraken      , 	Coinbase Pro, 	ETC/EUR, 	5.379, 	129.3, 	5.334, 	80.0, 	0.843645%, 	0.760000%, 	0.083645%
