2020-04-08 14:58:40, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.18251, 	2829.2, 	0.18076, 	260.1, 	0.968135%, 	0.360000%, 	0.608135%
2020-04-08 14:58:55, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18076, 	260.1, 	0.962602%, 	0.360000%, 	0.602602%
2020-04-08 14:59:10, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18084, 	260.1, 	0.917939%, 	0.360000%, 	0.557939%
2020-04-08 14:59:25, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18082, 	260.1, 	0.929101%, 	0.360000%, 	0.569101%
2020-04-08 14:59:40, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18076, 	260.1, 	0.962602%, 	0.360000%, 	0.602602%
2020-04-08 14:59:55, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18064, 	260.1, 	1.029672%, 	0.360000%, 	0.669672%
2020-04-08 15:00:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18077, 	260.1, 	0.957017%, 	0.360000%, 	0.597017%
2020-04-08 15:00:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18104, 	260.1, 	0.806452%, 	0.360000%, 	0.446452%
2020-04-08 15:00:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18105, 	260.1, 	0.800884%, 	0.360000%, 	0.440884%
2020-04-08 15:00:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.181, 	260.1, 	0.828729%, 	0.360000%, 	0.468729%
2020-04-08 15:01:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18113, 	260.1, 	0.756363%, 	0.360000%, 	0.396363%
2020-04-08 15:01:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18133, 	260.1, 	0.645232%, 	0.360000%, 	0.285232%
2020-04-08 15:01:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18124, 	260.1, 	0.695211%, 	0.360000%, 	0.335211%
2020-04-08 15:01:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1811, 	260.1, 	0.773054%, 	0.360000%, 	0.413054%
2020-04-08 15:02:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18125, 	260.1, 	0.689655%, 	0.360000%, 	0.329655%
2020-04-08 15:02:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18131, 	260.1, 	0.656334%, 	0.360000%, 	0.296334%
2020-04-08 15:02:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18123, 	182.0, 	0.700767%, 	0.360000%, 	0.340767%
2020-04-08 15:02:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18127, 	182.0, 	0.678546%, 	0.360000%, 	0.318546%
2020-04-08 15:03:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1813, 	182.0, 	0.661886%, 	0.360000%, 	0.301886%
2020-04-08 15:03:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18133, 	182.0, 	0.645232%, 	0.360000%, 	0.285232%
2020-04-08 15:03:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18146, 	182.0, 	0.573129%, 	0.360000%, 	0.213129%
2020-04-08 15:03:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18141, 	182.0, 	0.600849%, 	0.360000%, 	0.240849%
2020-04-08 15:04:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18138, 	182.0, 	0.617488%, 	0.360000%, 	0.257488%
2020-04-08 15:04:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18126, 	182.0, 	0.684100%, 	0.360000%, 	0.324100%
2020-04-08 15:04:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18129, 	182.0, 	0.667439%, 	0.360000%, 	0.307439%
2020-04-08 15:04:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18128, 	182.0, 	0.672992%, 	0.360000%, 	0.312992%
2020-04-08 15:05:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18139, 	182.0, 	0.611941%, 	0.360000%, 	0.251941%
2020-04-08 15:05:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18148, 	182.0, 	0.562045%, 	0.360000%, 	0.202045%
2020-04-08 15:05:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18138, 	182.0, 	0.617488%, 	0.360000%, 	0.257488%
2020-04-08 15:05:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18137, 	182.0, 	0.623036%, 	0.360000%, 	0.263036%
2020-04-08 15:06:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18131, 	182.0, 	0.656334%, 	0.360000%, 	0.296334%
2020-04-08 15:06:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18153, 	182.0, 	0.534347%, 	0.360000%, 	0.174347%
2020-04-08 15:06:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18158, 	182.0, 	0.506664%, 	0.360000%, 	0.146664%
2020-04-08 15:06:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1815, 	182.0, 	0.550964%, 	0.360000%, 	0.190964%
2020-04-08 15:07:11, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.1815, 	182.0, 	0.550964%, 	0.360000%, 	0.190964%
2020-04-08 15:07:26, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18147, 	182.0, 	0.567587%, 	0.360000%, 	0.207587%
2020-04-08 15:07:41, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.18251, 	2829.2, 	0.18149, 	182.0, 	0.562014%, 	0.360000%, 	0.202014%
2020-04-08 15:07:56, 	Binance     , 	Kraken      , 	XRP/EUR, 	0.1825, 	790.9, 	0.18148, 	182.0, 	0.562045%, 	0.360000%, 	0.202045%
