2020-04-08 18:40:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079266, 	101.381, 	0.925996%, 	0.510000%, 	0.415996%
2020-04-08 18:40:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079266, 	101.381, 	0.925996%, 	0.510000%, 	0.415996%
2020-04-08 18:41:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079484, 	99.593, 	0.649187%, 	0.510000%, 	0.139187%
2020-04-08 18:41:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	76.067, 	0.0007945, 	99.693, 	0.692259%, 	0.510000%, 	0.182259%
2020-04-08 18:41:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	76.067, 	0.00079425, 	99.739, 	0.723953%, 	0.510000%, 	0.213953%
2020-04-08 18:41:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	79.291, 	0.00079416, 	99.7, 	0.861287%, 	0.510000%, 	0.351287%
2020-04-08 18:42:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	79.291, 	0.00079416, 	99.7, 	0.861287%, 	0.510000%, 	0.351287%
2020-04-08 18:42:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	81.925, 	0.000794, 	234.41290106, 	0.755668%, 	0.510000%, 	0.245668%
2020-04-08 18:42:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079376, 	636.793609, 	0.786132%, 	0.510000%, 	0.276132%
2020-04-08 18:42:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079374, 	1069.2058, 	0.788671%, 	0.510000%, 	0.278671%
2020-04-08 18:43:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	81.925, 	0.00079359, 	99.758, 	0.807722%, 	0.510000%, 	0.297722%
2020-04-08 18:43:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.000801, 	58.391, 	0.0007935, 	99.805, 	0.945180%, 	0.510000%, 	0.435180%
2020-04-08 18:43:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079339, 	99.759, 	0.833134%, 	0.510000%, 	0.323134%
2020-04-08 18:43:59, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079316, 	562.504261, 	0.862373%, 	0.510000%, 	0.352373%
2020-04-08 18:44:14, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079299, 	354.32064663, 	0.883996%, 	0.510000%, 	0.373996%
2020-04-08 18:44:29, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.00079283, 	99.855, 	0.904355%, 	0.510000%, 	0.394355%
2020-04-08 18:44:44, 	Kraken      , 	Bittrex     , 	ETC/BTC, 	0.0008, 	23.461, 	0.0007927, 	99.868, 	0.920903%, 	0.510000%, 	0.410903%
