2020-04-10 13:25:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:25:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:25:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:26:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:26:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:26:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:26:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:27:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:27:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:27:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:27:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:28:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:28:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:28:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:28:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:29:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:29:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:29:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:29:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:30:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:30:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:30:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:30:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:31:02, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:31:17, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:31:32, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.259e-05, 	9.0, 	2.25e-05, 	31.44228019, 	0.400000%, 	0.350000%, 	0.050000%
2020-04-10 13:31:47, 	Binance     , 	Bittrex     , 	ARK/BTC, 	2.255e-05, 	334.0, 	2.25e-05, 	31.44228019, 	0.222222%, 	0.350000%, 	-0.127778%
