2020-04-10 08:18:19, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	3100.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:18:34, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	291500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:18:49, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	291500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:19:04, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	291500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:19:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	291500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:19:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	291500.0, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:19:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.756e-07, 	7500.0, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:20:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.756e-07, 	20200.0, 	0.925147%, 	0.350000%, 	0.575147%
2020-04-10 08:20:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	12400.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:20:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	19600.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:20:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	4100.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:21:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	3100.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:21:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	19600.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:21:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	3100.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:21:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.75e-07, 	16500.0, 	1.052632%, 	0.350000%, 	0.702632%
2020-04-10 08:22:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.749e-07, 	3100.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:22:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.749e-07, 	3100.0, 	1.073910%, 	0.350000%, 	0.723910%
2020-04-10 08:22:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.747e-07, 	12400.0, 	1.116495%, 	0.350000%, 	0.766495%
2020-04-10 08:22:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.746e-07, 	253333.2, 	1.137800%, 	0.350000%, 	0.787800%
2020-04-10 08:23:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	12400.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:23:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.752e-07, 	193418.31, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-10 08:23:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	20055.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:23:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	525183.97, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:24:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.752e-07, 	12400.0, 	1.010101%, 	0.350000%, 	0.660101%
2020-04-10 08:24:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.751e-07, 	3100.0, 	1.031362%, 	0.350000%, 	0.681362%
2020-04-10 08:24:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	6600.0, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:24:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	210353.98, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:25:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	455153.98, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:25:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	455153.98, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:25:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	362334.41, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:25:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.755e-07, 	362334.41, 	0.946372%, 	0.350000%, 	0.596372%
2020-04-10 08:26:05, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.754e-07, 	241671.12, 	0.967606%, 	0.350000%, 	0.617606%
2020-04-10 08:26:20, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	16500.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:26:35, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	19600.0, 	0.988849%, 	0.350000%, 	0.638849%
2020-04-10 08:26:50, 	Bitfinex    , 	OKEX        , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.753e-07, 	52055.0, 	0.988849%, 	0.350000%, 	0.638849%
