2020-04-08 17:30:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.664e-05, 	28.04771829, 	3.605e-05, 	6.0, 	1.636616%, 	0.350000%, 	1.286616%
2020-04-08 17:30:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.673e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.886269%, 	0.350000%, 	1.536269%
2020-04-08 17:30:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:30:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:31:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:31:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:31:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:31:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.605e-05, 	6.0, 	1.719834%, 	0.350000%, 	1.369834%
2020-04-08 17:32:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.47946728, 	3.606e-05, 	2000.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:32:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2000.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:32:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2000.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:32:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2000.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:33:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2000.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:33:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2055.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:33:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2055.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:33:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.667e-05, 	27.33749795, 	3.606e-05, 	2109.0, 	1.691625%, 	0.350000%, 	1.341625%
2020-04-08 17:34:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.663e-05, 	28.33206819, 	3.606e-05, 	2109.0, 	1.580699%, 	0.350000%, 	1.230699%
2020-04-08 17:34:29, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	36.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:34:44, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	36.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:34:59, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	36.0, 	1.890464%, 	0.350000%, 	1.540464%
2020-04-08 17:35:14, 	Bittrex     , 	Binance     , 	OGN/BTC, 	3.665e-05, 	27.76351803, 	3.597e-05, 	36.0, 	1.890464%, 	0.350000%, 	1.540464%
