2020-04-09 13:57:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:57:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:58:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:58:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:58:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:58:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:59:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:59:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:59:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 13:59:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:00:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:00:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:00:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:00:55, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:01:10, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:01:25, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
2020-04-09 14:01:40, 	Binance     , 	Bittrex     , 	VIB/BTC, 	1.71e-06, 	108854.0, 	1.7e-06, 	1545.4129266, 	0.588235%, 	0.350000%, 	0.238235%
