2020-04-07 22:51:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.83641765, 	4.458, 	54.53, 	25.4346177, 	2.395778%, 	0.400000%, 	1.995778%
2020-04-07 22:51:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291452, 	96.994792, 	54.53, 	36.72325036, 	2.444369%, 	0.400000%, 	2.044369%
2020-04-07 22:52:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291455, 	4.454, 	54.53, 	28.43325811, 	2.444369%, 	0.400000%, 	2.044369%
2020-04-07 22:52:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291459, 	6.1, 	54.53, 	46.45467051, 	2.444369%, 	0.400000%, 	2.044369%
2020-04-07 22:53:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291468, 	100.85856, 	54.53, 	56.47018941, 	2.444369%, 	0.400000%, 	2.044369%
2020-04-07 22:53:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291477, 	6.1, 	54.53, 	38.44751531, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:54:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.92361474, 	97.38828, 	54.53, 	20.43318841, 	2.555684%, 	0.400000%, 	2.155684%
2020-04-07 22:54:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.92361481, 	4.455, 	54.53, 	24.92173241, 	2.555685%, 	0.400000%, 	2.155685%
2020-04-07 22:55:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.92361487, 	4.456, 	54.53, 	97.781768, 	2.555685%, 	0.400000%, 	2.155685%
2020-04-07 22:55:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291483, 	4.465, 	54.53, 	103.01426912, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:56:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291486, 	40.6395494, 	54.53, 	101.7398719, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:56:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.8629149, 	48.5238461, 	54.53, 	109.01866829, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:57:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291496, 	68.2325991, 	54.53, 	109.01866829, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:57:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291502, 	77.75466154, 	54.53, 	107.44361414, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:58:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291508, 	79.42273254, 	54.53, 	98.273628, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:58:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.86291511, 	4.463, 	54.53, 	97.781768, 	2.444370%, 	0.400000%, 	2.044370%
2020-04-07 22:59:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088625, 	4.467, 	54.53, 	96.994792, 	2.367296%, 	0.400000%, 	1.967296%
2020-04-07 22:59:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088625, 	4.467, 	54.53, 	101.54264606, 	2.367296%, 	0.400000%, 	1.967296%
2020-04-07 23:00:29, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088625, 	4.467, 	54.53, 	4.469, 	2.367296%, 	0.400000%, 	1.967296%
2020-04-07 23:00:59, 	Bittrex     , 	OKEX        , 	XMR/USDT, 	55.82088625, 	4.467, 	54.53, 	101.84106417, 	2.367296%, 	0.400000%, 	1.967296%
