2020-04-07 22:27:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.891e-05, 	17540.0, 	96.125908%, 	0.250000%, 	95.875908%
2020-04-07 22:27:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.891e-05, 	17540.0, 	96.125908%, 	0.250000%, 	95.875908%
2020-04-07 22:28:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:28:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:29:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:29:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:30:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:30:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:31:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:31:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:32:19, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
2020-04-07 22:32:49, 	OKEX        , 	Binance     , 	GTO/ETH, 	5.67e-05, 	1260.0, 	2.889e-05, 	12783.0, 	96.261682%, 	0.250000%, 	96.011682%
