2020-04-07 22:27:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077548, 	3.4820371, 	0.007566, 	6.56620954, 	2.495374%, 	0.350000%, 	2.145374%
2020-04-07 22:28:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077548, 	3.68390384, 	0.007566, 	6.30906021, 	2.495374%, 	0.350000%, 	2.145374%
2020-04-07 22:28:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077557, 	3.69846382, 	0.007566, 	6.2861149, 	2.507269%, 	0.350000%, 	2.157269%
2020-04-07 22:29:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077572, 	3.63124523, 	0.007566, 	6.38015966, 	2.527095%, 	0.350000%, 	2.177095%
2020-04-07 22:29:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077608, 	3.62513753, 	0.007566, 	7.0, 	2.574676%, 	0.350000%, 	2.224676%
2020-04-07 22:30:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077567, 	7.0, 	0.007566, 	6.32047604, 	2.520486%, 	0.350000%, 	2.170486%
2020-04-07 22:30:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077574, 	3.61558289, 	0.007566, 	6.35843067, 	2.529738%, 	0.350000%, 	2.179738%
2020-04-07 22:31:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077571, 	3.65370538, 	0.007566, 	6.32658572, 	2.525773%, 	0.350000%, 	2.175773%
2020-04-07 22:31:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077576, 	3.70022032, 	0.007566, 	6.15755111, 	2.532382%, 	0.350000%, 	2.182382%
2020-04-07 22:32:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077576, 	3.70022032, 	0.007566, 	6.02629947, 	2.532382%, 	0.350000%, 	2.182382%
2020-04-07 22:32:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077539, 	4.2510554, 	0.007566, 	5.59967212, 	2.483479%, 	0.350000%, 	2.133479%
2020-04-07 22:33:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077553, 	4.55161436, 	0.007566, 	7.0, 	2.501983%, 	0.350000%, 	2.151983%
2020-04-07 22:33:54, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.0077531, 	7.0, 	0.007566, 	5.00342918, 	2.472905%, 	0.350000%, 	2.122905%
2020-04-07 22:34:24, 	Bitfinex    , 	OKEX        , 	XMR/BTC, 	0.007753, 	5.05880173, 	0.007566, 	7.0, 	2.471583%, 	0.350000%, 	2.121583%
