2020-04-10 10:10:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:11:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:11:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:11:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:11:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:12:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:12:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:12:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:12:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:13:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:13:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:13:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:13:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:14:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:14:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:14:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:14:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:15:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:15:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:15:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:15:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:16:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:16:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:16:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:16:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:17:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:17:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:17:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:17:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:18:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:18:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:18:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:18:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:19:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:19:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:19:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:19:50, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:20:05, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:20:20, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
2020-04-10 10:20:35, 	Poloniex    , 	Bitfinex    , 	SNT/BTC, 	2.36e-06, 	0.06667156, 	2.33e-06, 	44214.988, 	1.287554%, 	0.290000%, 	0.997554%
