2020-04-10 16:42:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	6.23455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:43:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:43:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:43:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:43:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:44:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:44:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:44:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:44:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:45:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:45:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:45:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:45:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:46:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:46:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:46:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:46:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:47:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:47:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:47:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:47:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.17193529, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:48:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.17193529, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:48:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:48:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16656032, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:48:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16656032, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:49:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.17534671, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:49:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16667588, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:49:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16667588, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:49:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.17546237, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:50:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16673366, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:50:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.16673366, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:50:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.1755202, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:50:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.00173601, 	0.1755202, 	0.00173, 	8.21455025, 	0.347399%, 	0.240000%, 	0.107399%
2020-04-10 16:51:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:51:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:51:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:51:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:52:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:52:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:52:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:52:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:53:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:53:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:53:42, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:53:57, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	12.14043828, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:54:12, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
2020-04-10 16:54:27, 	Poloniex    , 	OKEX        , 	DCR/BTC, 	0.001736, 	0.07288579, 	0.00173, 	8.21455025, 	0.346821%, 	0.240000%, 	0.106821%
