2020-04-09 16:52:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:52:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:53:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:54:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:21, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	17469.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:36, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0056, 	1656.53, 	0.005543, 	7893.0, 	1.028324%, 	0.250000%, 	0.778324%
2020-04-09 16:55:51, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	41170.94, 	0.005402, 	5198.0, 	1.814143%, 	0.250000%, 	1.564143%
2020-04-09 16:56:06, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	45570.94, 	0.005535, 	12262.0, 	-0.632340%, 	0.250000%, 	-0.882340%
2020-04-10 02:09:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	103313.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:10:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	103313.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:11:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005446, 	146222.0, 	0.991553%, 	0.250000%, 	0.741553%
2020-04-10 02:12:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005439, 	93083.0, 	1.121530%, 	0.250000%, 	0.871530%
2020-04-10 02:12:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:12:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:12:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49950.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:13:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:13:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	316566.6, 	0.005447, 	53363.0, 	0.973013%, 	0.250000%, 	0.723013%
2020-04-10 02:13:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005447, 	53363.0, 	0.973013%, 	0.250000%, 	0.723013%
2020-04-10 02:13:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005445, 	146222.0, 	1.010101%, 	0.250000%, 	0.760101%
2020-04-10 02:14:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005432, 	189861.0, 	1.251841%, 	0.250000%, 	1.001841%
2020-04-10 02:14:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005443, 	93040.0, 	1.047217%, 	0.250000%, 	0.797217%
2020-04-10 02:14:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005448, 	49442.0, 	0.954479%, 	0.250000%, 	0.704479%
2020-04-10 02:14:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005433, 	53363.0, 	1.233204%, 	0.250000%, 	0.983204%
2020-04-10 02:15:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005432, 	146334.0, 	1.251841%, 	0.250000%, 	1.001841%
2020-04-10 02:15:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005429, 	145824.0, 	1.307791%, 	0.250000%, 	1.057791%
2020-04-10 02:15:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005427, 	145841.0, 	1.345126%, 	0.250000%, 	1.095126%
2020-04-10 02:15:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005427, 	145841.0, 	1.345126%, 	0.250000%, 	1.095126%
2020-04-10 02:16:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:16:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:16:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:16:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:17:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:17:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:17:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:17:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:18:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:18:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005424, 	145885.0, 	1.401180%, 	0.250000%, 	1.151180%
2020-04-10 02:18:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:18:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:19:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:19:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:19:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:19:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:20:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:20:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:20:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:20:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005429, 	145841.0, 	1.307791%, 	0.250000%, 	1.057791%
2020-04-10 02:21:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005427, 	145859.0, 	1.345126%, 	0.250000%, 	1.095126%
2020-04-10 02:21:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005425, 	145876.0, 	1.382488%, 	0.250000%, 	1.132488%
2020-04-10 02:21:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005423, 	145894.0, 	1.419878%, 	0.250000%, 	1.169878%
2020-04-10 02:21:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:22:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:22:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:22:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:22:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:23:04, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:23:19, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:23:34, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
2020-04-10 02:23:49, 	OKEX        , 	Binance     , 	TCT/USDT, 	0.0055, 	279958.4, 	0.005431, 	2276.0, 	1.270484%, 	0.250000%, 	1.020484%
