2020-04-08 18:30:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079553, 	97.13944, 	0.687592%, 	0.350000%, 	0.337592%
2020-04-08 18:30:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079551, 	97.04052, 	0.690123%, 	0.350000%, 	0.340123%
2020-04-08 18:31:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079549, 	96.74376, 	0.692655%, 	0.350000%, 	0.342655%
2020-04-08 18:31:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079546, 	132.02265, 	0.696452%, 	0.350000%, 	0.346452%
2020-04-08 18:31:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079536, 	80.0, 	0.709113%, 	0.350000%, 	0.359113%
2020-04-08 18:31:57, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079514, 	80.0, 	0.736977%, 	0.350000%, 	0.386977%
2020-04-08 18:32:12, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007949, 	80.0, 	0.767392%, 	0.350000%, 	0.417392%
2020-04-08 18:32:27, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079456, 	80.0, 	0.810511%, 	0.350000%, 	0.460511%
2020-04-08 18:32:42, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079451, 	97.73296, 	0.816856%, 	0.350000%, 	0.466856%
2020-04-08 18:32:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079399, 	97.13944, 	0.882883%, 	0.350000%, 	0.532883%
2020-04-08 18:33:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079377, 	132.02265, 	0.910843%, 	0.350000%, 	0.560843%
2020-04-08 18:33:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007937, 	132.02265, 	0.919743%, 	0.350000%, 	0.569743%
2020-04-08 18:33:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079364, 	80.0, 	0.927373%, 	0.350000%, 	0.577373%
2020-04-08 18:33:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.00079354, 	132.02265, 	0.940091%, 	0.350000%, 	0.590091%
2020-04-08 18:34:13, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.000801, 	87.391, 	0.0007935, 	96.64484, 	0.945180%, 	0.350000%, 	0.595180%
2020-04-08 18:34:28, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079347, 	80.0, 	0.822967%, 	0.350000%, 	0.472967%
2020-04-08 18:34:43, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079333, 	98.4254, 	0.840760%, 	0.350000%, 	0.490760%
2020-04-08 18:34:58, 	Kraken      , 	Poloniex    , 	ETC/BTC, 	0.0008, 	80.725, 	0.00079305, 	132.02265, 	0.876363%, 	0.350000%, 	0.526363%
