2020-04-07 23:34:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	346.65876305, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:34:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	8080.93466056, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:35:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7838.53457153, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:35:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7688.46429356, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:36:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7635.78324257, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:36:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7635.78324257, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:37:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	8023.41283061, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:37:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	8171.64870859, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:38:18, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.25e-06, 	7777.51547923, 	2.24e-06, 	292.56950883, 	0.446429%, 	0.190000%, 	0.256429%
2020-04-07 23:38:48, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.24e-06, 	7796.92653635, 	2.24e-06, 	292.56950883, 	0.000000%, 	0.190000%, 	-0.190000%
2020-04-08 18:20:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	117726.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:21:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	117726.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:21:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	117726.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:21:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	119706.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:21:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	119706.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:22:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	119706.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:22:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	119706.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:22:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:22:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:23:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:23:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:23:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:23:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:24:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:24:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:24:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127896.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:24:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127562.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:25:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	127562.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:25:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	131545.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:25:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:25:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:26:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:26:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:26:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:26:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:27:10, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:27:25, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:27:40, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
2020-04-08 18:27:55, 	Binance     , 	Poloniex    , 	LOOM/BTC, 	2.19e-06, 	158942.0, 	2.18e-06, 	49.48298406, 	0.458716%, 	0.190000%, 	0.268716%
