2020-04-09 09:13:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	1953.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:13:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	1953.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:13:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.54e-05, 	10046.0, 	3.432e-05, 	102.99846634, 	3.146853%, 	0.350000%, 	2.796853%
2020-04-09 09:14:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	1780.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:14:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	1785.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:14:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.541e-05, 	1779.0, 	3.432e-05, 	102.99846634, 	3.175991%, 	0.350000%, 	2.825991%
2020-04-09 09:14:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.541e-05, 	1780.0, 	3.432e-05, 	102.99846634, 	3.175991%, 	0.350000%, 	2.825991%
2020-04-09 09:15:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.54e-05, 	3456.0, 	3.432e-05, 	102.99846634, 	3.146853%, 	0.350000%, 	2.796853%
2020-04-09 09:15:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.541e-05, 	242.0, 	3.432e-05, 	102.99846634, 	3.175991%, 	0.350000%, 	2.825991%
2020-04-09 09:15:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.544e-05, 	18106.0, 	3.432e-05, 	102.99846634, 	3.263403%, 	0.350000%, 	2.913403%
2020-04-09 09:15:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.545e-05, 	455.0, 	3.432e-05, 	102.99846634, 	3.292541%, 	0.350000%, 	2.942541%
2020-04-09 09:16:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	423.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:16:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.548e-05, 	14052.0, 	3.432e-05, 	102.99846634, 	3.379953%, 	0.350000%, 	3.029953%
2020-04-09 09:16:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.557e-05, 	2124.0, 	3.432e-05, 	102.99846634, 	3.642191%, 	0.350000%, 	3.292191%
2020-04-09 09:16:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.557e-05, 	2067.0, 	3.432e-05, 	102.99846634, 	3.642191%, 	0.350000%, 	3.292191%
2020-04-09 09:17:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.557e-05, 	1644.0, 	3.432e-05, 	102.99846634, 	3.642191%, 	0.350000%, 	3.292191%
2020-04-09 09:17:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.557e-05, 	3538.0, 	3.432e-05, 	102.99846634, 	3.642191%, 	0.350000%, 	3.292191%
2020-04-09 09:17:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.557e-05, 	1497.0, 	3.432e-05, 	102.99846634, 	3.642191%, 	0.350000%, 	3.292191%
2020-04-09 09:17:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	423.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:18:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.546e-05, 	423.0, 	3.432e-05, 	102.99846634, 	3.321678%, 	0.350000%, 	2.971678%
2020-04-09 09:18:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.543e-05, 	56.0, 	3.432e-05, 	102.99846634, 	3.234266%, 	0.350000%, 	2.884266%
2020-04-09 09:18:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.54e-05, 	1122.0, 	3.432e-05, 	102.99846634, 	3.146853%, 	0.350000%, 	2.796853%
2020-04-09 09:18:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.539e-05, 	9.0, 	3.432e-05, 	102.99846634, 	3.117716%, 	0.350000%, 	2.767716%
2020-04-09 09:19:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	8642.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:19:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	8585.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:19:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	8585.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:19:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	2076.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:20:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.537e-05, 	2076.0, 	3.432e-05, 	102.99846634, 	3.059441%, 	0.350000%, 	2.709441%
2020-04-09 09:20:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	6.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:20:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.536e-05, 	6.0, 	3.432e-05, 	102.99846634, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-09 09:20:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	219.0, 	3.432e-05, 	102.99846634, 	2.972028%, 	0.350000%, 	2.622028%
2020-04-09 09:21:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	219.0, 	3.432e-05, 	102.99846634, 	2.972028%, 	0.350000%, 	2.622028%
2020-04-09 09:21:15, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	219.0, 	3.432e-05, 	102.99846634, 	2.972028%, 	0.350000%, 	2.622028%
2020-04-09 09:21:30, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	219.0, 	3.432e-05, 	102.99846634, 	2.972028%, 	0.350000%, 	2.622028%
2020-04-09 09:21:45, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	213.0, 	3.432e-05, 	102.99846634, 	2.972028%, 	0.350000%, 	2.622028%
2020-04-09 09:22:00, 	Binance     , 	Bittrex     , 	OGN/BTC, 	3.534e-05, 	213.0, 	3.54e-05, 	0.30818151, 	-0.169492%, 	0.350000%, 	-0.519492%
