2020-04-08 19:23:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:24:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:24:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.669e-05, 	2084.694, 	2.697640%, 	0.510000%, 	2.187640%
2020-04-08 19:24:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.669e-05, 	2084.694, 	2.697640%, 	0.510000%, 	2.187640%
2020-04-08 19:24:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.741e-05, 	175.06307163, 	2.669e-05, 	2084.694, 	2.697640%, 	0.510000%, 	2.187640%
2020-04-08 19:25:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.669e-05, 	3784.694, 	1.573623%, 	0.510000%, 	1.063623%
2020-04-08 19:25:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.711e-05, 	726.20220097, 	2.669e-05, 	3784.694, 	1.573623%, 	0.510000%, 	1.063623%
2020-04-08 19:25:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.712e-05, 	703.3793691, 	2.669e-05, 	2084.694, 	1.611090%, 	0.510000%, 	1.101090%
2020-04-08 19:25:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	749.03340666, 	2.667e-05, 	2084.694, 	1.612298%, 	0.510000%, 	1.102298%
2020-04-08 19:26:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	772.43805697, 	2.667e-05, 	2084.694, 	1.537308%, 	0.510000%, 	1.027308%
2020-04-08 19:26:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.712e-05, 	725.67124986, 	2.667e-05, 	2084.694, 	1.687289%, 	0.510000%, 	1.177289%
2020-04-08 19:26:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.714e-05, 	746.84622956, 	2.667e-05, 	2084.694, 	1.762280%, 	0.510000%, 	1.252280%
2020-04-08 19:26:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.714e-05, 	746.84622956, 	2.667e-05, 	2084.694, 	1.762280%, 	0.510000%, 	1.252280%
2020-04-08 19:27:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.709e-05, 	727.26585287, 	2.667e-05, 	2084.694, 	1.574803%, 	0.510000%, 	1.064803%
2020-04-08 19:27:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.663e-05, 	2084.694, 	1.689824%, 	0.510000%, 	1.179824%
2020-04-08 19:27:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.663e-05, 	2084.694, 	1.689824%, 	0.510000%, 	1.179824%
2020-04-08 19:27:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:28:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:28:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:28:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:28:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:29:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:29:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.708e-05, 	750.13059994, 	2.665e-05, 	2084.694, 	1.613508%, 	0.510000%, 	1.103508%
2020-04-08 19:29:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.709e-05, 	4999.9, 	2.665e-05, 	2084.694, 	1.651032%, 	0.510000%, 	1.141032%
2020-04-08 19:29:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.665e-05, 	2084.694, 	1.688555%, 	0.510000%, 	1.178555%
2020-04-08 19:30:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.665e-05, 	2084.694, 	1.688555%, 	0.510000%, 	1.178555%
2020-04-08 19:30:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.665e-05, 	2084.694, 	1.688555%, 	0.510000%, 	1.178555%
2020-04-08 19:30:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:30:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	3801.097, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:31:09, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:31:24, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:31:39, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
2020-04-08 19:31:54, 	Bittrex     , 	Kraken      , 	ALGO/BTC, 	2.71e-05, 	771.30854439, 	2.669e-05, 	2084.694, 	1.536156%, 	0.510000%, 	1.026156%
