2020-04-07 22:43:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33383, 	0.035, 	0.329, 	0.244, 	1.468085%, 	0.250000%, 	1.218085%
2020-04-07 22:43:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33383, 	0.035, 	0.329, 	1.174, 	1.468085%, 	0.250000%, 	1.218085%
2020-04-07 22:44:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33394, 	8.908, 	0.329, 	0.031, 	1.501520%, 	0.250000%, 	1.251520%
2020-04-07 22:44:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33384, 	1.605, 	0.329, 	0.031, 	1.471125%, 	0.250000%, 	1.221125%
2020-04-07 22:45:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.712, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:45:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33378, 	3.044, 	0.329, 	1.712, 	1.452888%, 	0.250000%, 	1.202888%
2020-04-07 22:46:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33379, 	1.178, 	0.329, 	0.031, 	1.455927%, 	0.250000%, 	1.205927%
2020-04-07 22:46:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.605, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:47:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	3.043, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:47:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.605, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:48:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.605, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:48:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33395, 	5.47, 	0.329, 	0.084, 	1.504559%, 	0.250000%, 	1.254559%
2020-04-07 22:49:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33381, 	0.963, 	0.329, 	6.565, 	1.462006%, 	0.250000%, 	1.212006%
2020-04-07 22:49:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	2.888, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:50:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.712, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:50:41, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33377, 	0.137, 	0.329, 	1.712, 	1.449848%, 	0.250000%, 	1.199848%
2020-04-07 22:51:11, 	Binance     , 	OKEX        , 	XMR/ETH, 	0.33353, 	0.439, 	0.329, 	3.244, 	1.376900%, 	0.250000%, 	1.126900%
