2020-04-07 23:06:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007779, 	1.888, 	0.007566, 	12.814, 	2.815226%, 	0.250000%, 	2.565226%
2020-04-07 23:07:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	2.239, 	0.007566, 	0.013, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 23:07:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	5.858, 	0.007566, 	0.026, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 23:08:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007785, 	5.735, 	0.007566, 	0.026, 	2.894528%, 	0.250000%, 	2.644528%
2020-04-07 23:08:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007793, 	0.838, 	0.0076, 	60.532, 	2.539474%, 	0.250000%, 	2.289474%
2020-04-07 23:09:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007794, 	0.456, 	0.0076, 	13.432, 	2.552632%, 	0.250000%, 	2.302632%
2020-04-07 23:09:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00778, 	2.238, 	0.0076, 	3.404, 	2.368421%, 	0.250000%, 	2.118421%
2020-04-07 23:10:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007776, 	0.02, 	0.0076, 	1.119, 	2.315789%, 	0.250000%, 	2.065789%
2020-04-07 23:10:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007766, 	0.039, 	0.0076, 	4.601, 	2.184211%, 	0.250000%, 	1.934211%
2020-04-07 23:11:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00775, 	1.07, 	0.0076, 	2.247, 	1.973684%, 	0.250000%, 	1.723684%
2020-04-07 23:11:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007752, 	2.247, 	0.0076, 	2.966, 	2.000000%, 	0.250000%, 	1.750000%
2020-04-07 23:12:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007758, 	5.678, 	0.0076, 	3.947, 	2.078947%, 	0.250000%, 	1.828947%
2020-04-07 23:12:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007761, 	0.02, 	0.0076, 	1.971, 	2.118421%, 	0.250000%, 	1.868421%
2020-04-07 23:13:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007763, 	0.02, 	0.0076, 	2.759, 	2.144737%, 	0.250000%, 	1.894737%
2020-04-07 23:13:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007764, 	1.177, 	0.0076, 	1.199, 	2.157895%, 	0.250000%, 	1.907895%
2020-04-07 23:14:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007766, 	0.02, 	0.0076, 	1.604, 	2.184211%, 	0.250000%, 	1.934211%
2020-04-07 23:14:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007766, 	0.019, 	0.0076, 	2.485, 	2.184211%, 	0.250000%, 	1.934211%
2020-04-07 23:15:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007768, 	0.586, 	0.0076, 	28.795, 	2.210526%, 	0.250000%, 	1.960526%
2020-04-07 23:15:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007745, 	4.565, 	0.0076, 	4.525, 	1.907895%, 	0.250000%, 	1.657895%
2020-04-07 23:16:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007743, 	3.135, 	0.0076, 	2.245, 	1.881579%, 	0.250000%, 	1.631579%
2020-04-07 23:16:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007748, 	4.238, 	0.0076, 	0.518, 	1.947368%, 	0.250000%, 	1.697368%
2020-04-07 23:17:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00775, 	3.07, 	0.0076, 	0.518, 	1.973684%, 	0.250000%, 	1.723684%
2020-04-07 23:17:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007751, 	2.252, 	0.0076, 	0.518, 	1.986842%, 	0.250000%, 	1.736842%
2020-04-07 23:18:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007751, 	21.178, 	0.0076, 	2.77, 	1.986842%, 	0.250000%, 	1.736842%
2020-04-07 23:18:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007752, 	5.755, 	0.0076, 	0.55, 	2.000000%, 	0.250000%, 	1.750000%
2020-04-07 23:19:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007753, 	3.115, 	0.0076, 	0.528, 	2.013158%, 	0.250000%, 	1.763158%
2020-04-07 23:19:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007754, 	0.02, 	0.0076, 	0.528, 	2.026316%, 	0.250000%, 	1.776316%
2020-04-07 23:20:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007753, 	0.95, 	0.0076, 	2.248, 	2.013158%, 	0.250000%, 	1.763158%
2020-04-07 23:20:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007754, 	0.02, 	0.0076, 	2.248, 	2.026316%, 	0.250000%, 	1.776316%
2020-04-07 23:21:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007752, 	1.289, 	0.0076, 	2.247, 	2.000000%, 	0.250000%, 	1.750000%
2020-04-07 23:21:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00775, 	48.269, 	0.0076, 	96.251, 	1.973684%, 	0.250000%, 	1.723684%
2020-04-07 23:22:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.00775, 	47.475, 	0.0076, 	96.251, 	1.973684%, 	0.250000%, 	1.723684%
2020-04-07 23:22:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007744, 	0.019, 	0.0076, 	4.708, 	1.894737%, 	0.250000%, 	1.644737%
2020-04-07 23:23:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007744, 	105.921, 	0.0076, 	4.708, 	1.894737%, 	0.250000%, 	1.644737%
2020-04-07 23:23:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007748, 	0.174, 	0.0076, 	2.25, 	1.947368%, 	0.250000%, 	1.697368%
2020-04-07 23:24:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007749, 	16.264, 	0.0076, 	92.228, 	1.960526%, 	0.250000%, 	1.710526%
2020-04-07 23:24:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007754, 	6.848, 	0.0076, 	74.969, 	2.026316%, 	0.250000%, 	1.776316%
2020-04-07 23:25:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	4.601, 	0.0076, 	91.807, 	2.065789%, 	0.250000%, 	1.815789%
2020-04-07 23:25:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	4.601, 	0.0076, 	26.438, 	2.065789%, 	0.250000%, 	1.815789%
2020-04-07 23:26:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	9.298, 	0.0076, 	4.601, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:26:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	7.129, 	0.0076, 	10.058, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:27:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	6.806, 	0.0076, 	4.708, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:27:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007758, 	18.515, 	0.0076, 	98.308, 	2.078947%, 	0.250000%, 	1.828947%
2020-04-07 23:28:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007759, 	9.202, 	0.0076, 	98.308, 	2.092105%, 	0.250000%, 	1.842105%
2020-04-07 23:28:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	16.853, 	0.0076, 	5.626, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:29:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	13.094, 	0.0076, 	25.902, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:29:53, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007756, 	1.478, 	0.0076, 	23.557, 	2.052632%, 	0.250000%, 	1.802632%
2020-04-07 23:30:23, 	Binance     , 	OKEX        , 	XMR/BTC, 	0.007757, 	1.076, 	0.0076, 	23.557, 	2.065789%, 	0.250000%, 	1.815789%
