2020-04-08 14:03:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:04:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:04:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:04:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:04:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:05:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:05:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:05:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:05:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:06:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:06:22, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:06:37, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:06:52, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
2020-04-08 14:07:07, 	Bitfinex    , 	Binance     , 	EDO/ETH, 	0.000625, 	19.7, 	0.000622, 	438.56, 	0.482315%, 	0.300000%, 	0.182315%
