2020-04-10 14:09:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	127.03, 	377.54568106, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:09:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.03, 	606.02045532, 	0.480202%, 	0.460000%, 	0.020202%
2020-04-10 14:10:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.03, 	348.52045532, 	0.480202%, 	0.460000%, 	0.020202%
2020-04-10 14:10:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.64, 	6.06, 	127.03, 	348.53525532, 	0.480202%, 	0.460000%, 	0.020202%
2020-04-10 14:10:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	127.03, 	680.60184641, 	0.472329%, 	0.460000%, 	0.012329%
2020-04-10 14:10:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.91, 	57.8853, 	0.567331%, 	0.460000%, 	0.107331%
2020-04-10 14:11:06, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.91, 	57.8853, 	0.567331%, 	0.460000%, 	0.107331%
2020-04-10 14:11:21, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.9, 	90.00447402, 	0.575256%, 	0.460000%, 	0.115256%
2020-04-10 14:11:36, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.89, 	513.15593255, 	0.583182%, 	0.460000%, 	0.123182%
2020-04-10 14:11:51, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.55, 	1.171, 	126.89, 	872.17324548, 	0.520136%, 	0.460000%, 	0.060136%
2020-04-10 14:12:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.83, 	30.9707, 	0.630766%, 	0.460000%, 	0.170766%
2020-04-10 14:12:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.65, 	1.17, 	126.83, 	87.1752, 	0.646535%, 	0.460000%, 	0.186535%
2020-04-10 14:12:37, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.83, 	488.32665853, 	0.630766%, 	0.460000%, 	0.170766%
2020-04-10 14:12:52, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.57, 	1.17, 	126.82, 	16.0, 	0.591389%, 	0.460000%, 	0.131389%
2020-04-10 14:13:07, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.82, 	16.0, 	0.638701%, 	0.460000%, 	0.178701%
2020-04-10 14:13:22, 	Kraken      , 	Bitfinex    , 	ETH/GBP, 	127.63, 	1.17, 	126.82, 	16.0, 	0.638701%, 	0.460000%, 	0.178701%
