2020-04-09 18:59:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:00:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:00:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:00:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:00:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:01:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:01:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:01:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:01:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:02:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:02:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:02:39, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:02:54, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:03:09, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
2020-04-09 19:03:24, 	Bittrex     , 	OKEX        , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.355e-06, 	400.0, 	0.636943%, 	0.400000%, 	0.236943%
