2020-04-09 01:10:16, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001709, 	221.98, 	0.0001705, 	0.00135076, 	0.234604%, 	0.190000%, 	0.044604%
2020-04-09 01:10:31, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001709, 	221.36, 	0.0001705, 	0.00135076, 	0.234604%, 	0.190000%, 	0.044604%
2020-04-09 01:10:46, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.000171, 	1000.0, 	0.0001705, 	0.00135076, 	0.293255%, 	0.190000%, 	0.103255%
2020-04-09 01:11:01, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001709, 	147.28, 	0.0001705, 	0.00135076, 	0.234604%, 	0.190000%, 	0.044604%
2020-04-09 01:11:16, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001715, 	161.57, 	0.00017084, 	0.00143273, 	0.386326%, 	0.190000%, 	0.196326%
2020-04-09 01:11:31, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	1000.0, 	0.00017184, 	0.00962618, 	0.384078%, 	0.190000%, 	0.194078%
2020-04-09 01:11:46, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001726, 	1091.6, 	0.00017184, 	0.00962618, 	0.442272%, 	0.190000%, 	0.252272%
2020-04-09 01:12:01, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	1778.31, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:12:16, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001727, 	160.5, 	0.00017209, 	0.56956669, 	0.354466%, 	0.190000%, 	0.164466%
2020-04-09 01:12:31, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	185.09, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:12:46, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	185.09, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:13:01, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	174.6, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:13:16, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	98.73, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:13:31, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001727, 	158.36, 	0.00017209, 	0.56956669, 	0.354466%, 	0.190000%, 	0.164466%
2020-04-09 01:13:46, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001731, 	252.25, 	0.00017209, 	0.56956669, 	0.586902%, 	0.190000%, 	0.396902%
2020-04-09 01:14:01, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001731, 	181.2, 	0.00017209, 	0.56956669, 	0.586902%, 	0.190000%, 	0.396902%
2020-04-09 01:14:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001731, 	26.59, 	0.00017209, 	0.56956669, 	0.586902%, 	0.190000%, 	0.396902%
2020-04-09 01:14:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001725, 	17.59, 	0.00017209, 	0.56956669, 	0.238247%, 	0.190000%, 	0.048247%
2020-04-09 01:14:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001726, 	153.01, 	0.00017209, 	0.56956669, 	0.296357%, 	0.190000%, 	0.106357%
2020-04-09 01:15:02, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001728, 	150.87, 	0.00017209, 	0.56956669, 	0.412575%, 	0.190000%, 	0.222575%
2020-04-09 01:15:17, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001741, 	57.13, 	0.00017209, 	0.56956669, 	1.167993%, 	0.190000%, 	0.977993%
2020-04-09 01:15:32, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001744, 	3.17, 	0.00017395, 	0.00094671, 	0.258695%, 	0.190000%, 	0.068695%
2020-04-09 01:15:47, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.000174, 	1457.98, 	0.00017395, 	0.00094671, 	0.028744%, 	0.190000%, 	-0.161256%
2020-04-09 03:59:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001711, 	10.0, 	0.00017069, 	0.0014845, 	0.240202%, 	0.190000%, 	0.050202%
2020-04-09 03:59:51, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001711, 	10.0, 	0.00017069, 	0.0014845, 	0.240202%, 	0.190000%, 	0.050202%
2020-04-09 04:00:06, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001711, 	10.0, 	0.00017069, 	0.0014845, 	0.240202%, 	0.190000%, 	0.050202%
2020-04-09 04:00:21, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001711, 	10.0, 	0.00017069, 	0.0014845, 	0.240202%, 	0.190000%, 	0.050202%
2020-04-09 04:00:36, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001709, 	9.14, 	0.00017069, 	0.0014845, 	0.123030%, 	0.190000%, 	-0.066970%
2020-04-09 06:17:40, 	Binance     , 	Poloniex    , 	GAS/BTC, 	0.0001728, 	34.6, 	0.00017199, 	0.36355152, 	0.470958%, 	0.190000%, 	0.280958%
