2020-04-07 22:31:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.5, 	18.54291, 	54.26, 	4.1573, 	2.285293%, 	0.250000%, 	2.035293%
2020-04-07 22:32:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.5, 	41.57081, 	54.26, 	24.89357, 	2.285293%, 	0.250000%, 	2.035293%
2020-04-07 22:32:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.52, 	0.8369, 	54.26, 	10.35034, 	2.322153%, 	0.250000%, 	2.072153%
2020-04-07 22:33:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.57, 	1.09105, 	54.26, 	0.20525, 	2.414302%, 	0.250000%, 	2.164302%
2020-04-07 22:33:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.54, 	47.85387, 	54.26, 	0.20525, 	2.359012%, 	0.250000%, 	2.109012%
2020-04-07 22:34:21, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.59, 	0.90766, 	54.26, 	1.70436, 	2.451161%, 	0.250000%, 	2.201161%
2020-04-07 22:34:51, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.6, 	6.38535, 	54.26, 	13.70722, 	2.469591%, 	0.250000%, 	2.219591%
2020-04-07 22:35:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.59, 	121.02698, 	54.26, 	15.19478, 	2.451161%, 	0.250000%, 	2.201161%
2020-04-07 22:35:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.6, 	22.26584, 	54.26, 	51.65463, 	2.469591%, 	0.250000%, 	2.219591%
2020-04-07 22:36:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.69, 	0.40572, 	54.26, 	42.5333, 	2.635459%, 	0.250000%, 	2.385459%
2020-04-07 22:36:52, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.82, 	18.80583, 	54.26, 	1.50885, 	2.875046%, 	0.250000%, 	2.625046%
2020-04-07 22:37:22, 	Binance     , 	OKEX        , 	XMR/USDT, 	55.88, 	19.37934, 	54.26, 	34.80434, 	2.985625%, 	0.250000%, 	2.735625%
