2020-04-08 18:49:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034184, 	59.048, 	0.033943, 	126.52, 	0.710014%, 	0.360000%, 	0.350014%
2020-04-08 18:50:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034184, 	59.048, 	0.033939, 	5.21, 	0.721883%, 	0.360000%, 	0.361883%
2020-04-08 18:50:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	59.045, 	0.033941, 	20.15, 	0.721841%, 	0.360000%, 	0.361841%
2020-04-08 18:50:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	85.266, 	0.033941, 	5.21, 	0.721841%, 	0.360000%, 	0.361841%
2020-04-08 18:50:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034188, 	59.041, 	0.03394, 	13.49, 	0.730701%, 	0.360000%, 	0.370701%
2020-04-08 18:51:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034188, 	59.041, 	0.033941, 	18.3, 	0.727733%, 	0.360000%, 	0.367733%
2020-04-08 18:51:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034191, 	59.036, 	0.03394, 	126.47, 	0.739540%, 	0.360000%, 	0.379540%
2020-04-08 18:51:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	26.219, 	0.033939, 	5.21, 	0.727776%, 	0.360000%, 	0.367776%
2020-04-08 18:51:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	24.219, 	0.033937, 	5.21, 	0.733712%, 	0.360000%, 	0.373712%
2020-04-08 18:52:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	83.263, 	0.033937, 	5.21, 	0.733712%, 	0.360000%, 	0.373712%
2020-04-08 18:52:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034186, 	81.263, 	0.033929, 	126.63, 	0.757464%, 	0.360000%, 	0.397464%
2020-04-08 18:52:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033925, 	5.21, 	0.683861%, 	0.360000%, 	0.323861%
2020-04-08 18:52:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033922, 	5.21, 	0.692766%, 	0.360000%, 	0.332766%
2020-04-08 18:53:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033922, 	131.82, 	0.692766%, 	0.360000%, 	0.332766%
2020-04-08 18:53:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.03392, 	5.21, 	0.698703%, 	0.360000%, 	0.338703%
2020-04-08 18:53:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033915, 	5.22, 	0.713549%, 	0.360000%, 	0.353549%
2020-04-08 18:53:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034162, 	59.086, 	0.033909, 	5.22, 	0.746115%, 	0.360000%, 	0.386115%
2020-04-08 18:54:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033909, 	5.22, 	0.731369%, 	0.360000%, 	0.371369%
2020-04-08 18:54:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033905, 	250.42, 	0.743253%, 	0.360000%, 	0.383253%
2020-04-08 18:54:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033901, 	126.72, 	0.755140%, 	0.360000%, 	0.395140%
2020-04-08 18:54:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033897, 	126.67, 	0.767030%, 	0.360000%, 	0.407030%
2020-04-08 18:55:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033894, 	5.22, 	0.775949%, 	0.360000%, 	0.415949%
2020-04-08 18:55:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.0339, 	5.21, 	0.758112%, 	0.360000%, 	0.398112%
2020-04-08 18:55:44, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.03416, 	59.09, 	0.033923, 	5.21, 	0.698641%, 	0.360000%, 	0.338641%
2020-04-08 18:55:59, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034159, 	2.0, 	0.033917, 	126.67, 	0.713507%, 	0.360000%, 	0.353507%
2020-04-08 18:56:14, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034159, 	2.0, 	0.033914, 	126.69, 	0.722416%, 	0.360000%, 	0.362416%
2020-04-08 18:56:29, 	Kraken      , 	Binance     , 	ETC/ETH, 	0.034157, 	0.351, 	0.033908, 	253.36, 	0.734340%, 	0.360000%, 	0.374340%
