2020-04-07 22:16:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.522, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:16:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.51, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:17:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.332, 	4.51, 	1.040831%, 	0.400000%, 	0.640831%
2020-04-07 22:17:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	4.517, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:18:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	4.518, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:18:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	23.158744, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:19:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	42.729228, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:19:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	4.515, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:20:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	4.515, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:20:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33545556, 	0.0774, 	0.333, 	4.515, 	0.737405%, 	0.400000%, 	0.337405%
2020-04-07 22:21:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.333, 	4.511, 	0.453757%, 	0.400000%, 	0.053757%
2020-04-07 22:21:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.333, 	4.511, 	0.453757%, 	0.400000%, 	0.053757%
2020-04-07 22:22:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.333, 	4.511, 	0.453757%, 	0.400000%, 	0.053757%
2020-04-07 22:22:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.333, 	4.509, 	0.453757%, 	0.400000%, 	0.053757%
2020-04-07 22:23:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.329, 	4.509, 	1.675079%, 	0.400000%, 	1.275079%
2020-04-07 22:23:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451101, 	4.512, 	0.329, 	4.509, 	1.675079%, 	0.400000%, 	1.275079%
2020-04-07 22:24:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451106, 	35.242833, 	0.329, 	4.509, 	1.675094%, 	0.400000%, 	1.275094%
2020-04-07 22:24:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3345112, 	45.172856, 	0.329, 	4.509, 	1.675137%, 	0.400000%, 	1.275137%
2020-04-07 22:25:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451134, 	51.284035, 	0.329, 	4.509, 	1.675179%, 	0.400000%, 	1.275179%
2020-04-07 22:25:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33451145, 	4.504, 	0.329, 	4.509, 	1.675213%, 	0.400000%, 	1.275213%
2020-04-07 22:26:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3345115, 	4.506, 	0.329, 	5.077769, 	1.675228%, 	0.400000%, 	1.275228%
2020-04-07 22:26:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33484551, 	62.0, 	0.329, 	10.216366, 	1.776751%, 	0.400000%, 	1.376751%
2020-04-07 22:27:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3348456, 	35.271952, 	0.329, 	4.508, 	1.776778%, 	0.400000%, 	1.376778%
2020-04-07 22:27:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491895, 	4.504, 	0.329, 	16.36991, 	1.799073%, 	0.400000%, 	1.399073%
2020-04-07 22:28:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491898, 	42.980976, 	0.329, 	23.740606, 	1.799082%, 	0.400000%, 	1.399082%
2020-04-07 22:28:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491903, 	4.503, 	0.329, 	4.502, 	1.799097%, 	0.400000%, 	1.399097%
2020-04-07 22:29:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.3349191, 	29.717216, 	0.329, 	63.991056, 	1.799119%, 	0.400000%, 	1.399119%
2020-04-07 22:29:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491914, 	42.664774, 	0.329, 	4.501, 	1.799131%, 	0.400000%, 	1.399131%
2020-04-07 22:30:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	30.433314, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:30:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	39.882152, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:31:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	4.504, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:31:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	2.89139929, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:32:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	34.897882, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:32:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	4.5, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:33:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	91.516651, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:33:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	4.495, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:34:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	96.306188, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:34:49, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	97.27855, 	1.799134%, 	0.400000%, 	1.399134%
2020-04-07 22:35:19, 	Bittrex     , 	OKEX        , 	XMR/ETH, 	0.33491915, 	4.501, 	0.329, 	77.040438, 	1.799134%, 	0.400000%, 	1.399134%
