2020-04-08 10:41:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	281.9, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:42:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	633.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:42:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:42:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:42:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:43:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:43:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:43:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:43:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:44:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:44:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:44:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:44:58, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:45:13, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:45:28, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
2020-04-08 10:45:43, 	Bitfinex    , 	OKEX        , 	VSYS/BTC, 	3.89e-06, 	154.22587635, 	3.85e-06, 	349.5, 	1.038961%, 	0.350000%, 	0.688961%
