2020-04-08 22:01:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:01:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:01:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:02:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:02:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:02:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:02:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:03:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:03:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:03:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:03:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:04:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:04:17, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:04:32, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:04:47, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
2020-04-08 22:05:02, 	OKEX        , 	Binance     , 	FTM/USDT, 	0.0035, 	737.2136, 	0.00349, 	10594.7, 	0.286533%, 	0.250000%, 	0.036533%
