2020-04-09 00:47:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	11.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:47:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	404.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:47:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	1780.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:48:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	404.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:48:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	808.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:48:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	404.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:48:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	404.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:49:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.902e-05, 	808.0, 	3.893e-05, 	4.99625, 	0.231184%, 	0.190000%, 	0.041184%
2020-04-09 00:49:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.904e-05, 	1991.0, 	3.893e-05, 	4.99625, 	0.282558%, 	0.190000%, 	0.092558%
2020-04-09 00:49:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	601.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:49:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:50:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	601.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:50:28, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:50:43, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:50:58, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
2020-04-09 00:51:13, 	Binance     , 	Poloniex    , 	STRAT/BTC, 	3.901e-05, 	6.0, 	3.893e-05, 	4.99625, 	0.205497%, 	0.190000%, 	0.015497%
