2020-04-08 14:14:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.6145465, 	155.36, 	17.46, 	0.746653%, 	0.600000%, 	0.146653%
2020-04-08 14:14:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.49608292, 	155.34, 	80.44251323, 	0.759624%, 	0.600000%, 	0.159624%
2020-04-08 14:15:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.81784524, 	155.33, 	79.05, 	0.766111%, 	0.600000%, 	0.166111%
2020-04-08 14:15:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.81784524, 	155.33, 	78.25110869, 	0.766111%, 	0.600000%, 	0.166111%
2020-04-08 14:15:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.44, 	155.32, 	84.15, 	0.772599%, 	0.600000%, 	0.172599%
2020-04-08 14:15:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.14, 	155.32, 	84.15, 	0.772599%, 	0.600000%, 	0.172599%
2020-04-08 14:16:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	17.11342306, 	155.28, 	82.99235482, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:16:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.94, 	155.28, 	81.09816784, 	0.798557%, 	0.600000%, 	0.198557%
2020-04-08 14:16:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	3.14, 	155.25, 	12.6, 	0.818035%, 	0.600000%, 	0.218035%
2020-04-08 14:16:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	32.18515414, 	155.16, 	83.3, 	0.876515%, 	0.600000%, 	0.276515%
2020-04-08 14:17:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	4.8, 	155.17, 	79.64, 	0.870014%, 	0.600000%, 	0.270014%
2020-04-08 14:17:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	15.97610181, 	155.14, 	0.59, 	0.889519%, 	0.600000%, 	0.289519%
2020-04-08 14:17:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	22.57610181, 	155.12, 	0.59, 	0.902527%, 	0.600000%, 	0.302527%
2020-04-08 14:17:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.07711632, 	155.12, 	97.39, 	0.902527%, 	0.600000%, 	0.302527%
2020-04-08 14:18:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	0.07711632, 	155.1, 	8.6, 	0.915538%, 	0.600000%, 	0.315538%
2020-04-08 14:18:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	59.1148352, 	155.01, 	38.41, 	0.974131%, 	0.600000%, 	0.374131%
2020-04-08 14:18:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	5.2e-06, 	155.01, 	131.05, 	0.974131%, 	0.600000%, 	0.374131%
2020-04-08 14:18:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.7400052, 	155.01, 	46.30964253, 	0.974131%, 	0.600000%, 	0.374131%
2020-04-08 14:19:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	36.7400052, 	155.08, 	1.604, 	0.928553%, 	0.600000%, 	0.328553%
2020-04-08 14:19:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	1.7400052, 	155.01, 	86.604, 	0.974131%, 	0.600000%, 	0.374131%
2020-04-08 14:19:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	38.26886782, 	154.98, 	1.534, 	0.993677%, 	0.600000%, 	0.393677%
2020-04-08 14:19:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	6.04, 	155.0, 	79.34835012, 	0.980645%, 	0.600000%, 	0.380645%
2020-04-08 14:20:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	39.10512026, 	155.05, 	82.99179906, 	0.948081%, 	0.600000%, 	0.348081%
2020-04-08 14:20:28, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	26.2688197, 	155.02, 	0.00021884, 	0.967617%, 	0.600000%, 	0.367617%
2020-04-08 14:20:43, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	48.965, 	155.02, 	0.00021884, 	0.967617%, 	0.600000%, 	0.367617%
2020-04-08 14:20:58, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	25.8, 	155.03, 	84.15, 	0.961104%, 	0.600000%, 	0.361104%
2020-04-08 14:21:13, 	Binance     , 	Coinbase Pro, 	ETH/EUR, 	156.52, 	21.28339796, 	155.03, 	84.15, 	0.961104%, 	0.600000%, 	0.361104%
