2020-04-10 10:24:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	37.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:24:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	31.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:24:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	31.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:24:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.774e-05, 	31.0, 	0.620018%, 	0.190000%, 	0.430018%
2020-04-10 10:25:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:25:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:25:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:25:50, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:26:05, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:26:20, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	300.0, 	0.724102%, 	0.190000%, 	0.534102%
2020-04-10 10:26:35, 	Poloniex    , 	Binance     , 	KNC/BTC, 	6.816e-05, 	0.89322729, 	6.767e-05, 	298.0, 	0.724102%, 	0.190000%, 	0.534102%
