2020-04-08 18:52:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	60.483, 	5.7808, 	32.0, 	0.851093%, 	0.460000%, 	0.391093%
2020-04-08 18:52:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	60.483, 	5.7844, 	34.04567417, 	0.788327%, 	0.460000%, 	0.328327%
2020-04-08 18:53:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	29.992, 	5.788, 	90.36115508, 	0.812025%, 	0.460000%, 	0.352025%
2020-04-08 18:53:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	29.992, 	5.7865, 	32.0, 	0.838158%, 	0.460000%, 	0.378158%
2020-04-08 18:53:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7833, 	39.2, 	0.893953%, 	0.460000%, 	0.433953%
2020-04-08 18:53:45, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7834, 	300.0, 	0.892209%, 	0.460000%, 	0.432209%
2020-04-08 18:54:00, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	89.5, 	5.7829, 	24.0, 	0.814470%, 	0.460000%, 	0.354470%
2020-04-08 18:54:15, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	89.5, 	5.7813, 	80.0, 	0.842371%, 	0.460000%, 	0.382371%
2020-04-08 18:54:30, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	100.807, 	5.7823, 	64.12129991, 	0.824931%, 	0.460000%, 	0.364931%
2020-04-08 18:54:46, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.833, 	10.307, 	5.7828, 	783.44579587, 	0.868092%, 	0.460000%, 	0.408092%
2020-04-08 18:55:01, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.833, 	10.307, 	5.7843, 	344.8, 	0.841934%, 	0.460000%, 	0.381934%
2020-04-08 18:55:16, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.834, 	40.304, 	5.7842, 	162.5, 	0.860966%, 	0.460000%, 	0.400966%
2020-04-08 18:55:31, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.834, 	60.204, 	5.7881, 	50.58371947, 	0.793006%, 	0.460000%, 	0.333006%
2020-04-08 18:55:46, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7872, 	34.0, 	0.825961%, 	0.460000%, 	0.365961%
2020-04-08 18:56:01, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7787, 	40.8, 	0.974268%, 	0.460000%, 	0.514268%
2020-04-08 18:56:16, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7824, 	292.18611442, 	0.909657%, 	0.460000%, 	0.449657%
2020-04-08 18:56:31, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7818, 	87.71572299, 	0.920129%, 	0.460000%, 	0.460129%
2020-04-08 18:56:46, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7794, 	17.6, 	0.962038%, 	0.460000%, 	0.502038%
2020-04-08 18:57:01, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.781, 	60.73094735, 	0.934094%, 	0.460000%, 	0.474094%
2020-04-08 18:57:16, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7805, 	300.0, 	0.942825%, 	0.460000%, 	0.482825%
2020-04-08 18:57:31, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	10.307, 	5.7809, 	84.8, 	0.935840%, 	0.460000%, 	0.475840%
2020-04-08 18:57:46, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	60.421, 	5.7832, 	240.35339367, 	0.912989%, 	0.460000%, 	0.452989%
2020-04-08 18:58:01, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	10.307, 	5.7829, 	80.0, 	0.918224%, 	0.460000%, 	0.458224%
2020-04-08 18:58:16, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	10.307, 	5.7829, 	80.0, 	0.918224%, 	0.460000%, 	0.458224%
2020-04-08 18:59:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.842, 	26.507, 	5.7869, 	24.0, 	0.952151%, 	0.460000%, 	0.492151%
2020-04-08 18:59:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.844, 	550.0, 	5.782, 	300.0, 	1.072293%, 	0.460000%, 	0.612293%
2020-04-08 19:00:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.848, 	451.978, 	5.7852, 	67.61355558, 	1.085529%, 	0.460000%, 	0.625529%
2020-04-08 19:00:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.834, 	60.442, 	5.7843, 	887.91189483, 	0.859222%, 	0.460000%, 	0.399222%
2020-04-08 19:00:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	130.018, 	5.7839, 	300.0, 	0.797040%, 	0.460000%, 	0.337040%
2020-04-08 19:00:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7865, 	300.0, 	0.838158%, 	0.460000%, 	0.378158%
2020-04-08 19:01:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	15.91, 	5.7895, 	564.34736117, 	0.803178%, 	0.460000%, 	0.343178%
2020-04-08 19:01:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	60.421, 	5.7922, 	300.0, 	0.756189%, 	0.460000%, 	0.296189%
2020-04-08 19:01:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.837, 	29.982, 	5.7918, 	1390.52232798, 	0.780414%, 	0.460000%, 	0.320414%
2020-04-08 19:01:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.838, 	60.4, 	5.7889, 	300.0, 	0.848175%, 	0.460000%, 	0.388175%
2020-04-08 19:02:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.836, 	60.421, 	5.7921, 	432.8330651, 	0.757929%, 	0.460000%, 	0.297929%
2020-04-08 19:02:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.837, 	57.382, 	5.7903, 	66.1960209, 	0.806521%, 	0.460000%, 	0.346521%
2020-04-08 19:02:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.835, 	60.431, 	5.7809, 	952.17308151, 	0.935840%, 	0.460000%, 	0.475840%
2020-04-08 19:02:50, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.831, 	60.473, 	5.7776, 	300.0, 	0.924259%, 	0.460000%, 	0.464259%
2020-04-08 19:03:05, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.83, 	100.0, 	5.7758, 	34.0, 	0.938398%, 	0.460000%, 	0.478398%
2020-04-08 19:03:20, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.831, 	60.473, 	5.7712, 	300.0, 	1.036180%, 	0.460000%, 	0.576180%
2020-04-08 19:03:35, 	Kraken      , 	Bitfinex    , 	ETC/USD, 	5.831, 	15.0, 	5.7768, 	357.51965078, 	0.938236%, 	0.460000%, 	0.478236%
