2020-04-10 04:47:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:47:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:47:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:47:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:48:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:48:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:48:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:48:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:49:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:49:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:49:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235122, 	0.69248697, 	0.00234, 	52.49021648, 	0.479487%, 	0.340000%, 	0.139487%
2020-04-10 04:49:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:50:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:50:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:50:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:50:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:51:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:51:17, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235322, 	0.69248697, 	0.00234, 	52.49021648, 	0.564957%, 	0.340000%, 	0.224957%
2020-04-10 04:51:32, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235121, 	15.57393031, 	0.00234, 	52.49021648, 	0.479060%, 	0.340000%, 	0.139060%
2020-04-10 04:51:47, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235121, 	15.57393031, 	0.00234, 	52.49021648, 	0.479060%, 	0.340000%, 	0.139060%
2020-04-10 04:52:02, 	Poloniex    , 	Bittrex     , 	NMR/BTC, 	0.00235121, 	15.57393031, 	0.00234, 	52.49021648, 	0.479060%, 	0.340000%, 	0.139060%
