2020-04-09 03:34:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:34:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:34:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:35:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	313.04, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:35:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	311.06, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:35:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	311.06, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:35:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	311.06, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:36:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	311.06, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:36:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:36:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:36:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:37:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:37:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:37:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:37:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:38:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:38:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:38:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:38:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:39:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:39:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:39:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.03, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:39:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	272.9, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:40:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:40:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:40:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:40:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:41:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:41:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:41:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	310.65, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:41:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:42:07, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:42:22, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:42:37, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
2020-04-09 03:42:52, 	Binance     , 	Poloniex    , 	LSK/BTC, 	0.0001442, 	309.45, 	0.00014389, 	2.5320856, 	0.215442%, 	0.190000%, 	0.025442%
