2020-04-08 23:30:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:30:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:30:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:30:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:31:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:31:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:31:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:31:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:32:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:32:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:32:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:32:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:33:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:33:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:33:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:33:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:34:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:34:18, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:34:33, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:34:48, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	1803.895, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-08 23:35:03, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.68e-06, 	6.238, 	1.69e-06, 	0.18517845, 	-0.591716%, 	0.400000%, 	-0.991716%
2020-04-09 08:04:52, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	2413.956, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:05:07, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	2413.956, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:05:22, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:05:37, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:05:52, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:06:07, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:06:22, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:06:37, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:06:52, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:07:07, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:07:22, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:07:37, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:07:52, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:08:07, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
2020-04-09 08:08:22, 	OKEX        , 	Bittrex     , 	VIB/BTC, 	1.7e-06, 	3296.308, 	1.69e-06, 	0.18517845, 	0.591716%, 	0.400000%, 	0.191716%
