2020-04-09 09:39:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	12913.14, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:39:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	12913.14, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:39:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9984, 	1504.48, 	0.238396%, 	0.190000%, 	0.048396%
2020-04-09 09:40:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11004.2, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:40:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11004.2, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:40:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11020.68, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:40:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11020.68, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:41:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11020.68, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:41:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	11020.68, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:41:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	8784.35, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:41:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	8176.22, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:42:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	7905.95, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:42:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6657.99, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:42:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9985, 	6196.6, 	0.228358%, 	0.190000%, 	0.038358%
2020-04-09 09:42:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3576.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:43:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	5026.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:43:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6476.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:43:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	7237.34, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:43:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	7237.34, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:44:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:44:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:44:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:44:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:45:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:45:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:45:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	6547.98, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:45:45, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	4479.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:46:00, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	4479.5, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:46:15, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3789.86, 	0.218321%, 	0.190000%, 	0.028321%
2020-04-09 09:46:30, 	Poloniex    , 	Binance     , 	PAX/USDT, 	1.00078015, 	68.06091136, 	0.9986, 	3789.86, 	0.218321%, 	0.190000%, 	0.028321%
