2020-04-10 11:51:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:52:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:52:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:52:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:52:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:53:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:53:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:53:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:53:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:54:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:54:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:54:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:54:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:55:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:55:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:55:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:55:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:56:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:56:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:56:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	494281.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:56:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:57:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:57:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:57:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:57:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:58:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493178.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:58:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:58:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:58:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:59:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:59:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:59:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 11:59:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:00:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:00:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:00:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:00:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:01:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:01:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:01:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:01:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:02:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:02:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:02:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:02:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:03:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:03:26, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:03:41, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:03:56, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
2020-04-10 12:04:11, 	Poloniex    , 	Binance     , 	POLY/BTC, 	2.73e-06, 	0.86813186, 	2.72e-06, 	493134.0, 	0.367647%, 	0.190000%, 	0.177647%
