2020-04-09 18:31:22, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1828, 	134708.0, 	1.017505%, 	0.600000%, 	0.417505%
2020-04-09 18:31:37, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1828, 	132184.0, 	1.017505%, 	0.600000%, 	0.417505%
2020-04-09 18:31:52, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.18466, 	804.3, 	0.1827, 	3457.0, 	1.072797%, 	0.600000%, 	0.472797%
2020-04-09 18:32:07, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1837, 	5535.7, 	0.1827, 	31327.0, 	0.547345%, 	0.600000%, 	-0.052655%
2020-04-09 19:17:53, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	1000.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:18:08, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	7112.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:18:23, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	6112.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:18:38, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	21315.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:18:53, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	6090.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:19:08, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	6090.0, 	0.713502%, 	0.600000%, 	0.113502%
2020-04-09 19:19:23, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1821, 	3056.0, 	0.768808%, 	0.600000%, 	0.168808%
2020-04-09 19:19:38, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	7820.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:19:53, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	7820.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:20:08, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	7394.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:20:23, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1821, 	54599.0, 	0.768808%, 	0.600000%, 	0.168808%
2020-04-09 19:20:38, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	7400.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:20:53, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	7400.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:21:08, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	52673.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:21:23, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	52609.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:21:38, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	83.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:21:53, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	1.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:22:08, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	1.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:22:23, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.182, 	1.0, 	0.824176%, 	0.600000%, 	0.224176%
2020-04-09 19:22:38, 	Binance     , 	Coinbase Pro, 	XRP/EUR, 	0.1835, 	2518.6, 	0.1822, 	3902.0, 	0.713502%, 	0.600000%, 	0.113502%
