2020-04-08 19:03:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	60.473, 	5.78299, 	18.9837184, 	0.830193%, 	0.510000%, 	0.320193%
2020-04-08 19:03:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	60.473, 	5.783, 	3.93392676, 	0.830019%, 	0.510000%, 	0.320019%
2020-04-08 19:03:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	15.0, 	5.77795, 	65.14, 	0.918146%, 	0.510000%, 	0.408146%
2020-04-08 19:03:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.77792, 	75.13, 	0.901362%, 	0.510000%, 	0.391362%
2020-04-08 19:04:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	60.473, 	5.77792, 	75.13, 	0.918670%, 	0.510000%, 	0.408670%
2020-04-08 19:04:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.77791, 	65.083, 	0.988074%, 	0.510000%, 	0.478074%
2020-04-08 19:04:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78294, 	84.0797184, 	0.900234%, 	0.510000%, 	0.390234%
2020-04-08 19:04:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78291, 	18.9837184, 	0.900758%, 	0.510000%, 	0.390758%
2020-04-08 19:05:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78287, 	75.097, 	0.901456%, 	0.510000%, 	0.391456%
2020-04-08 19:05:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.845, 	60.328, 	5.79098, 	83.9747184, 	0.932830%, 	0.510000%, 	0.422830%
2020-04-08 19:05:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.846, 	60.317, 	5.78996, 	65.084, 	0.967882%, 	0.510000%, 	0.457882%
2020-04-08 19:05:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.846, 	10.272, 	5.78695, 	84.0797184, 	1.020399%, 	0.510000%, 	0.510399%
2020-04-08 19:06:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.846, 	10.272, 	5.78695, 	84.0797184, 	1.020399%, 	0.510000%, 	0.510399%
2020-04-08 19:06:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.832, 	17.72, 	5.786, 	3.93392676, 	0.795022%, 	0.510000%, 	0.285022%
2020-04-08 19:06:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	28.6, 	5.782, 	3.93392676, 	0.847458%, 	0.510000%, 	0.337458%
2020-04-08 19:06:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	28.6, 	5.78296, 	18.9837184, 	0.830716%, 	0.510000%, 	0.320716%
2020-04-08 19:07:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	28.6, 	5.7829, 	65.136, 	0.831763%, 	0.510000%, 	0.321763%
2020-04-08 19:07:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	28.6, 	5.78287, 	75.145, 	0.832286%, 	0.510000%, 	0.322286%
2020-04-08 19:07:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	31.3, 	5.78286, 	84.0867184, 	0.867045%, 	0.510000%, 	0.357045%
2020-04-08 19:07:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	6.0, 	5.7828, 	84.1287184, 	0.868092%, 	0.510000%, 	0.358092%
2020-04-08 19:08:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	6.0, 	5.78097, 	84.1387184, 	0.900022%, 	0.510000%, 	0.390022%
2020-04-08 19:08:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	28.5, 	5.78092, 	75.164, 	0.935491%, 	0.510000%, 	0.425491%
2020-04-08 19:08:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	6.0, 	5.78087, 	84.1607184, 	0.936364%, 	0.510000%, 	0.426364%
2020-04-08 19:08:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78085, 	84.0937184, 	0.936713%, 	0.510000%, 	0.426713%
2020-04-08 19:09:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78085, 	84.0937184, 	0.936713%, 	0.510000%, 	0.426713%
2020-04-08 19:09:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78085, 	84.0937184, 	0.936713%, 	0.510000%, 	0.426713%
2020-04-08 19:09:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.835, 	60.431, 	5.78085, 	65.11, 	0.936713%, 	0.510000%, 	0.426713%
2020-04-08 19:09:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.838, 	60.4, 	5.78085, 	65.11, 	0.988609%, 	0.510000%, 	0.478609%
2020-04-08 19:10:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	603.907, 	5.78085, 	65.11, 	1.023206%, 	0.510000%, 	0.513206%
2020-04-08 19:10:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	60.297, 	5.787, 	3.93392676, 	1.054087%, 	0.510000%, 	0.544087%
2020-04-08 19:10:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.841, 	6.0, 	5.78699, 	18.9837184, 	0.933300%, 	0.510000%, 	0.423300%
2020-04-08 19:10:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.841, 	25.4, 	5.78797, 	65.028, 	0.916211%, 	0.510000%, 	0.406211%
2020-04-08 19:11:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	451.978, 	5.78792, 	65.055, 	0.934360%, 	0.510000%, 	0.424360%
2020-04-08 19:11:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.846, 	15.2, 	5.78699, 	9.36723702, 	1.019701%, 	0.510000%, 	0.509701%
2020-04-08 19:11:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.843, 	6.0, 	5.78699, 	9.36723702, 	0.967861%, 	0.510000%, 	0.457861%
2020-04-08 19:11:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.839, 	31.5, 	5.78599, 	18.9837184, 	0.916179%, 	0.510000%, 	0.406179%
2020-04-08 19:12:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	31.5, 	5.787, 	3.93392676, 	0.915846%, 	0.510000%, 	0.405846%
2020-04-08 19:12:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	31.5, 	5.782, 	3.93392676, 	1.003113%, 	0.510000%, 	0.493113%
2020-04-08 19:12:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	46.3, 	5.78299, 	65.134, 	0.985822%, 	0.510000%, 	0.475822%
2020-04-08 19:12:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.78299, 	65.134, 	0.812901%, 	0.510000%, 	0.302901%
2020-04-08 19:13:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.78299, 	65.134, 	0.812901%, 	0.510000%, 	0.302901%
2020-04-08 19:13:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.832, 	17.72, 	5.78295, 	65.147, 	0.848183%, 	0.510000%, 	0.338183%
2020-04-08 19:13:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.78295, 	65.147, 	0.813599%, 	0.510000%, 	0.303599%
2020-04-08 19:13:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.78295, 	65.147, 	0.813599%, 	0.510000%, 	0.303599%
2020-04-08 19:14:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	160.483, 	5.78295, 	65.147, 	0.813599%, 	0.510000%, 	0.303599%
2020-04-08 19:14:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	18.16, 	5.782, 	3.93392676, 	0.847458%, 	0.510000%, 	0.337458%
2020-04-08 19:14:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.83, 	100.0, 	5.78292, 	65.133, 	0.814122%, 	0.510000%, 	0.304122%
2020-04-08 19:14:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.831, 	17.39, 	5.782, 	3.93392676, 	0.847458%, 	0.510000%, 	0.337458%
2020-04-08 19:15:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	60.452, 	5.79097, 	64.989, 	0.725785%, 	0.510000%, 	0.215785%
2020-04-08 19:15:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	21.1, 	5.79097, 	64.989, 	0.846663%, 	0.510000%, 	0.336663%
2020-04-08 19:15:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.839, 	60.39, 	5.79097, 	64.989, 	0.829395%, 	0.510000%, 	0.319395%
2020-04-08 19:15:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.839, 	60.39, 	5.79097, 	64.989, 	0.829395%, 	0.510000%, 	0.319395%
2020-04-08 19:16:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.836, 	60.421, 	5.79, 	3.93392676, 	0.794473%, 	0.510000%, 	0.284473%
2020-04-08 19:16:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	74.31, 	5.79, 	3.93392676, 	0.811744%, 	0.510000%, 	0.301744%
2020-04-08 19:16:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	74.31, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:16:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	74.31, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:17:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	74.31, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:17:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	74.31, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:17:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.833, 	60.452, 	5.78998, 	64.968, 	0.743008%, 	0.510000%, 	0.233008%
2020-04-08 19:17:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	60.41, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:18:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	60.41, 	5.78998, 	64.968, 	0.812093%, 	0.510000%, 	0.302093%
2020-04-08 19:18:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.837, 	100.674, 	5.79199, 	18.9837184, 	0.777108%, 	0.510000%, 	0.267108%
2020-04-08 19:18:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.839, 	60.39, 	5.79199, 	18.9837184, 	0.811638%, 	0.510000%, 	0.301638%
2020-04-08 19:18:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.84, 	15.09, 	5.79199, 	18.9837184, 	0.828903%, 	0.510000%, 	0.318903%
2020-04-08 19:19:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.841, 	60.369, 	5.79199, 	18.9837184, 	0.846169%, 	0.510000%, 	0.336169%
2020-04-08 19:19:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	17.35, 	5.79199, 	18.9837184, 	0.863434%, 	0.510000%, 	0.353434%
2020-04-08 19:19:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	10.282, 	5.79199, 	18.9837184, 	0.863434%, 	0.510000%, 	0.353434%
2020-04-08 19:19:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	10.282, 	5.79199, 	18.9837184, 	0.863434%, 	0.510000%, 	0.353434%
2020-04-08 19:20:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.842, 	10.282, 	5.797, 	3.93392676, 	0.776264%, 	0.510000%, 	0.266264%
2020-04-08 19:20:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.844, 	10.282, 	5.79699, 	6.59169867, 	0.810938%, 	0.510000%, 	0.300938%
2020-04-08 19:20:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.844, 	60.338, 	5.797, 	3.93392676, 	0.810764%, 	0.510000%, 	0.300764%
2020-04-08 19:20:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.845, 	18.8, 	5.79794, 	64.884, 	0.811668%, 	0.510000%, 	0.301668%
2020-04-08 19:21:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.845, 	27.082, 	5.797, 	3.93392676, 	0.828014%, 	0.510000%, 	0.318014%
2020-04-08 19:21:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.846, 	70.599, 	5.797, 	3.93392676, 	0.845265%, 	0.510000%, 	0.335265%
2020-04-08 19:21:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.85, 	60.276, 	5.797, 	3.93392676, 	0.914266%, 	0.510000%, 	0.404266%
2020-04-08 19:21:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.797, 	3.93392676, 	0.879765%, 	0.510000%, 	0.369765%
2020-04-08 19:22:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.7979, 	18.9837184, 	0.864106%, 	0.510000%, 	0.354106%
2020-04-08 19:22:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79788, 	18.9837184, 	0.864454%, 	0.510000%, 	0.354454%
2020-04-08 19:22:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79699, 	18.9837184, 	0.879939%, 	0.510000%, 	0.369939%
2020-04-08 19:22:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79699, 	18.9837184, 	0.879939%, 	0.510000%, 	0.369939%
2020-04-08 19:23:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.7978, 	64.959, 	0.865846%, 	0.510000%, 	0.355846%
2020-04-08 19:23:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79779, 	83.9357184, 	0.866020%, 	0.510000%, 	0.356020%
2020-04-08 19:23:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79776, 	83.9347184, 	0.866542%, 	0.510000%, 	0.356542%
2020-04-08 19:23:47, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79772, 	64.952, 	0.867237%, 	0.510000%, 	0.357237%
2020-04-08 19:24:02, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79699, 	64.957, 	0.879939%, 	0.510000%, 	0.369939%
2020-04-08 19:24:17, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79697, 	64.953, 	0.880287%, 	0.510000%, 	0.370287%
2020-04-08 19:24:32, 	Kraken      , 	Bittrex     , 	ETC/USD, 	5.848, 	10.282, 	5.79697, 	64.953, 	0.880287%, 	0.510000%, 	0.370287%
