2020-04-07 21:10:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:10:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:11:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:11:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:12:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:12:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:13:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:13:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	13744.46153845, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:14:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10942.58778625, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:14:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10942.58778625, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:15:07, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10942.58778625, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
2020-04-07 21:15:37, 	OKEX        , 	Bittrex     , 	NXT/BTC, 	1.83e-06, 	10942.58778625, 	1.32e-06, 	837.50171493, 	38.636364%, 	0.400000%, 	38.236364%
